entry_date,exit_date,strategy,regime,exit_pnl,total_bp,bp_pct_account,contracts,dte_at_entry,dte_at_exit
2013-12-24,2014-01-24,Bull Call Diagonal,,-2202.28,22500.0,15.0,3.0238,45,25
2014-02-10,2014-03-17,Iron Condor,,2209.51,22500.0,15.0,5.4926,45,21
2014-03-18,2014-04-11,Bull Call Diagonal,,-5238.2,22500.0,15.0,2.5657,45,27
2014-04-07,2014-05-02,Iron Condor,,3937.73,22500.0,15.0,5.2004,45,27
2014-05-02,2014-06-06,Bull Call Diagonal,,8702.4,22500.0,15.0,2.8675,45,21
2014-06-06,2014-07-11,Bull Call Diagonal,,3245.72,22500.0,15.0,3.2509,45,21
2014-07-11,2014-07-31,Bull Call Diagonal,,-1677.68,22500.0,15.0,2.8926,45,31
2014-08-13,2014-09-17,Iron Condor,,2694.04,22500.0,15.0,6.1259,45,21
2014-09-17,2014-10-01,Bull Call Diagonal,,-3843.39,22500.0,15.0,2.7388,45,35
2014-10-08,2014-11-11,Iron Condor,,3080.41,22500.0,15.0,5.1023,45,21
2014-11-11,2014-12-15,Bull Call Diagonal,,-1164.63,22500.0,15.0,2.6365,45,22
2014-12-24,2015-01-05,Bull Call Diagonal,,-2889.92,22500.0,15.0,2.3334,45,39
2015-01-13,2015-02-05,Iron Condor,,3860.98,22500.0,15.0,3.5108,45,29
2015-02-05,2015-02-27,Iron Condor,,3935.2,22500.0,15.0,4.3372,45,30
2015-02-27,2015-03-10,Bull Call Diagonal,,-4252.96,22500.0,15.0,2.4558,45,38
2015-03-26,2015-04-21,Iron Condor,,3760.89,22500.0,15.0,4.7041,45,28
2015-03-18,2015-04-22,Bull Call Diagonal,,464.16,22500.0,15.0,2.3646,45,21
2015-04-22,2015-05-27,Bull Call Diagonal,,2158.26,22500.0,15.0,2.5891,45,21
2015-05-27,2015-06-08,Bull Call Diagonal,,-3530.39,22500.0,15.0,2.4673,45,37
2015-06-10,2015-07-15,Iron Condor,,4017.27,22500.0,15.0,5.6621,45,21
2015-07-15,2015-08-17,Iron Condor,,3815.58,22500.0,15.0,5.538,45,22
2015-08-17,2015-08-24,Iron Condor,,-13234.99,22500.0,15.0,5.6425,45,40
2015-08-26,2015-09-10,Iron Condor (High Vol),,1398.06,21000.0,14.0,1.2955,45,35
2015-08-27,2015-09-15,Iron Condor (High Vol),,1360.66,21000.0,14.0,1.5224,45,33
2015-09-16,2015-10-08,Iron Condor,,4139.8,22500.0,15.0,3.5174,45,29
2015-09-23,2015-10-15,Iron Condor (High Vol),,3356.11,21000.0,14.0,3.1995,45,29
2015-10-16,2015-10-29,Bull Put Spread,,4929.08,22500.0,15.0,5.6606,30,21
2015-10-30,2015-11-12,Bull Put Spread,,-3496.71,22500.0,15.0,5.5512,30,21
2015-10-13,2015-11-16,Iron Condor,,3068.67,22500.0,15.0,4.1838,45,21
2015-11-25,2015-12-09,Bull Put Spread,,-4454.73,22500.0,15.0,5.4476,30,21
2015-12-03,2016-01-08,Iron Condor,,-4262.17,22500.0,15.0,3.9623,45,21
2016-01-29,2016-03-01,Iron Condor,,4123.32,22500.0,15.0,3.7519,45,24
2016-02-16,2016-03-10,Iron Condor (High Vol),,1381.01,21000.0,14.0,1.8042,45,28
2016-02-17,2016-03-10,Iron Condor (High Vol),,1372.02,21000.0,14.0,1.8726,45,29
2016-03-11,2016-03-24,Bull Put Spread,,2875.99,22500.0,15.0,5.1764,30,21
2016-03-28,2016-04-08,Bull Put Spread,,1794.79,22500.0,15.0,5.5474,30,21
2016-03-24,2016-04-28,Bull Call Diagonal,,4711.81,22500.0,15.0,2.3261,45,21
2016-05-02,2016-05-19,Bull Call Diagonal,,-3377.49,22500.0,15.0,2.2841,45,32
2016-05-17,2016-06-21,Iron Condor,,1921.75,22500.0,15.0,4.6857,45,21
2016-06-22,2016-07-07,Iron Condor,,4515.07,22500.0,15.0,3.3055,45,35
2016-07-07,2016-08-10,Iron Condor,,3225.37,22500.0,15.0,4.9356,45,21
2016-08-10,2016-09-09,Bull Call Diagonal,,-2089.48,22500.0,15.0,2.6232,45,24
2016-10-03,2016-11-04,Iron Condor,,-3662.2,22500.0,15.0,5.109,45,21
2016-11-09,2016-12-14,Bull Call Diagonal,,8923.61,22500.0,15.0,2.2391,45,21
2016-12-14,2017-01-20,Bull Call Diagonal,,1437.72,22500.0,15.0,2.335,45,21
2017-01-20,2017-02-24,Bull Call Diagonal,,10172.92,22500.0,15.0,2.6103,45,21
2017-02-24,2017-03-30,Bull Call Diagonal,,-120.06,22500.0,15.0,2.5234,45,21
2017-03-30,2017-04-12,Bull Call Diagonal,,-207.27,22500.0,15.0,2.5045,45,36
2017-04-24,2017-05-17,Bull Call Diagonal,,748.28,22500.0,15.0,2.6626,45,28
2017-05-19,2017-06-23,Bull Call Diagonal,,6123.92,22500.0,15.0,2.3897,45,21
2017-06-23,2017-07-28,Bull Call Diagonal,,4339.04,22500.0,15.0,2.7968,45,21
2017-07-28,2017-08-10,Bull Call Diagonal,,-96.53,22500.0,15.0,2.6831,45,36
2017-08-14,2017-08-17,Bull Call Diagonal,,-1631.19,22500.0,15.0,2.2785,45,42
2017-08-22,2017-09-21,Iron Condor,,3855.04,22500.0,15.0,5.5316,45,24
2017-09-21,2017-10-25,Bull Call Diagonal,,7205.94,22500.0,15.0,2.8019,45,21
2017-10-25,2017-11-29,Bull Call Diagonal,,7333.44,22500.0,15.0,2.3974,45,21
2017-11-29,2018-01-04,Bull Call Diagonal,,9905.98,22500.0,15.0,2.4411,45,21
2018-01-04,2018-02-05,Bull Call Diagonal,,13904.95,22500.0,15.0,2.6947,45,24
2018-02-07,2018-02-22,Iron Condor (High Vol),,1868.49,21000.0,14.0,1.0627,45,35
2018-02-08,2018-02-23,Iron Condor (High Vol),,1903.03,21000.0,14.0,0.8744,45,35
2018-02-22,2018-03-16,Iron Condor,,3609.64,22500.0,15.0,2.9008,45,29
2018-03-16,2018-04-20,Iron Condor,,1094.7,22500.0,15.0,3.4937,45,21
2018-04-20,2018-05-09,Iron Condor,,3981.97,22500.0,15.0,3.3249,45,32
2018-05-09,2018-06-13,Bull Call Diagonal,,6887.78,22500.0,15.0,1.9152,45,21
2018-06-13,2018-06-27,Bull Call Diagonal,,-3143.74,22500.0,15.0,1.9289,45,35
2018-07-06,2018-08-09,Bull Call Diagonal,,7995.31,22500.0,15.0,1.8795,45,21
2018-08-09,2018-09-13,Bull Call Diagonal,,5297.0,22500.0,15.0,2.138,45,21
2018-09-13,2018-10-10,Bull Call Diagonal,,-2136.39,22500.0,15.0,1.923,45,26
2018-10-18,2018-11-07,Iron Condor,,3654.4,22500.0,15.0,2.6262,45,31
2018-11-07,2018-12-13,Iron Condor,,-3962.97,22500.0,15.0,3.2949,45,21
2018-12-26,2019-01-10,Iron Condor (High Vol),,1554.03,21000.0,14.0,1.0229,45,35
2018-12-27,2019-01-11,Iron Condor (High Vol),,1776.72,21000.0,14.0,1.0317,45,35
2019-01-31,2019-02-13,Bull Put Spread,,3961.28,22500.0,15.0,3.8814,30,21
2019-01-10,2019-02-14,Iron Condor,,1859.33,22500.0,15.0,2.861,45,21
2019-02-13,2019-02-27,Bull Put Spread,,3619.37,22500.0,15.0,3.9793,30,21
2019-03-06,2019-03-19,Bull Put Spread,,4983.81,22500.0,15.0,3.9194,30,21
2019-02-27,2019-04-02,Bull Call Diagonal,,5980.55,22500.0,15.0,1.6958,45,21
2019-04-02,2019-05-07,Bull Call Diagonal,,4044.21,22500.0,15.0,1.808,45,21
2019-05-22,2019-06-26,Iron Condor,,2646.37,22500.0,15.0,3.6236,45,21
2019-06-18,2019-07-01,Bull Put Spread,,3943.68,22500.0,15.0,3.8662,30,21
2019-07-01,2019-08-05,Bull Call Diagonal,,-2150.94,22500.0,15.0,1.6721,45,21
2019-08-15,2019-09-16,Iron Condor,,3500.62,22500.0,15.0,2.3769,45,24
2019-09-05,2019-09-18,Bull Put Spread,,3673.97,22500.0,15.0,3.5952,30,21
2019-09-18,2019-10-02,Bull Call Diagonal,,-4157.8,22500.0,15.0,1.6565,45,35
2019-10-14,2019-11-15,Bull Call Diagonal,,10628.93,22500.0,15.0,1.6165,45,21
2019-11-15,2019-12-20,Bull Call Diagonal,,8153.75,22500.0,15.0,1.8273,45,21
2019-12-20,2020-01-28,Bull Call Diagonal,,5621.94,22500.0,15.0,1.7191,45,21
2020-02-06,2020-02-24,Bull Call Diagonal,,-1534.2,22500.0,15.0,1.4009,45,34
2020-03-02,2020-04-03,Iron Condor (High Vol),,-2016.39,21000.0,14.0,0.7204,45,21
2020-03-04,2020-04-07,Iron Condor (High Vol),,-1297.46,21000.0,14.0,0.7618,45,21
2020-04-27,2020-05-11,Bull Put Spread (High Vol),,2917.8,21000.0,14.0,1.834,35,25
2020-05-11,2020-05-27,Bull Put Spread (High Vol),,2767.44,21000.0,14.0,2.1075,35,24
2020-05-27,2020-06-05,Bull Put Spread (High Vol),,3428.46,21000.0,14.0,2.0252,35,28
2020-06-05,2020-06-25,Bull Put Spread (High Vol),,-3162.67,21000.0,14.0,2.1356,35,21
2020-06-25,2020-07-06,Bull Put Spread (High Vol),,2788.27,21000.0,14.0,1.7546,35,29
2020-07-07,2020-07-20,Bull Put Spread (High Vol),,3332.91,21000.0,14.0,1.8793,35,26
2020-06-26,2020-07-24,Iron Condor (High Vol),,3312.18,21000.0,14.0,1.2029,45,26
2020-07-02,2020-08-06,Iron Condor (High Vol),,2634.65,21000.0,14.0,1.5083,45,21
2020-08-17,2020-08-27,Bull Put Spread,,3158.52,22500.0,15.0,2.4514,30,22
2020-08-19,2020-09-23,Iron Condor (High Vol),,-12.53,21000.0,14.0,1.7347,45,21
2020-08-20,2020-09-24,Iron Condor (High Vol),,48.6,21000.0,14.0,1.7394,45,21
2020-11-06,2020-11-23,Bull Put Spread (High Vol),,2654.29,21000.0,14.0,1.9403,35,24
2020-11-05,2020-11-25,Iron Condor (High Vol),,3456.62,21000.0,14.0,1.3506,45,31
2020-11-09,2020-11-27,Iron Condor (High Vol),,3237.13,21000.0,14.0,1.4419,45,32
2020-11-23,2020-12-08,Bull Put Spread (High Vol),,3176.24,21000.0,14.0,2.0612,35,25
2020-12-09,2020-12-30,Bull Put Spread (High Vol),,2282.58,21000.0,14.0,2.0629,35,21
2020-12-30,2021-01-20,Bull Put Spread (High Vol),,3194.57,21000.0,14.0,1.9684,35,22
2021-01-04,2021-02-03,Iron Condor (High Vol),,3627.12,21000.0,14.0,1.3033,45,24
2021-01-25,2021-02-11,Bull Put Spread (High Vol),,2690.31,21000.0,14.0,1.8527,35,22
2021-01-29,2021-02-12,Iron Condor (High Vol),,1613.72,21000.0,14.0,0.6117,45,35
2021-02-18,2021-03-10,Bull Put Spread (High Vol),,1099.7,21000.0,14.0,1.9069,35,21
2021-03-05,2021-03-22,Iron Condor (High Vol),,3339.76,21000.0,14.0,1.374,45,34
2021-03-08,2021-03-22,Iron Condor (High Vol),,3346.48,21000.0,14.0,1.3606,45,35
2021-03-10,2021-03-26,Bull Put Spread (High Vol),,3129.69,21000.0,14.0,1.862,35,23
2021-05-19,2021-06-03,Bull Put Spread (High Vol),,3086.08,21000.0,14.0,1.81,35,25
2021-08-18,2021-08-31,Bull Put Spread,,5685.51,22500.0,15.0,1.8682,30,21
2021-09-17,2021-10-14,Iron Condor,,4495.12,22500.0,15.0,1.5979,45,26
2021-11-22,2021-12-06,Bull Put Spread,,-4008.86,22500.0,15.0,1.9577,30,21
2021-12-02,2021-12-16,Iron Condor (High Vol),,1610.47,21000.0,14.0,0.603,45,35
2021-12-10,2021-12-23,Bull Put Spread,,1731.17,22500.0,15.0,1.9851,30,21
2021-12-17,2022-01-11,Iron Condor,,3572.64,22500.0,15.0,1.4657,45,29
2021-12-20,2022-01-12,Iron Condor (High Vol),,3482.77,21000.0,14.0,1.2839,45,29
2022-01-28,2022-02-16,Iron Condor (High Vol),,1292.63,21000.0,14.0,0.636,45,32
2022-01-31,2022-03-07,Iron Condor (High Vol),,-309.32,21000.0,14.0,0.712,45,21
2022-02-16,2022-03-18,Iron Condor (High Vol),,1514.86,21000.0,14.0,0.7476,45,24
2022-03-09,2022-03-23,Iron Condor (High Vol),,1401.4,21000.0,14.0,0.5523,45,35
2022-03-18,2022-04-04,Iron Condor (High Vol),,1428.22,21000.0,14.0,0.7629,45,34
2022-03-22,2022-04-11,Bull Put Spread (High Vol),,-858.11,21000.0,14.0,1.6041,35,21
2022-04-04,2022-04-18,Bull Put Spread,,-7381.95,22500.0,15.0,2.067,30,21
2022-04-21,2022-05-25,Iron Condor (High Vol),,-5040.79,21000.0,14.0,1.3768,45,21
2022-04-22,2022-05-26,Iron Condor (High Vol),,1795.28,21000.0,14.0,1.0454,45,21
2022-07-29,2022-08-11,Bull Put Spread,,3620.8,22500.0,15.0,2.004,30,21
2022-08-01,2022-09-02,Iron Condor (High Vol),,460.48,21000.0,14.0,1.4264,45,21
2022-08-02,2022-09-06,Iron Condor (High Vol),,762.23,21000.0,14.0,1.3526,45,21
2022-09-14,2022-09-28,Bear Call Spread (High Vol),,1807.28,21000.0,14.0,1.1066,45,35
2022-09-07,2022-10-11,Iron Condor (High Vol),,-4491.58,21000.0,14.0,1.3255,45,21
2022-09-08,2022-10-12,Iron Condor (High Vol),,-5707.59,21000.0,14.0,1.4036,45,21
2022-11-28,2022-12-16,Bull Put Spread (High Vol),,-1359.8,21000.0,14.0,1.8781,35,21
2022-12-16,2023-01-18,Iron Condor (High Vol),,3445.78,21000.0,14.0,1.5277,45,25
2022-12-19,2023-01-25,Bear Call Spread (High Vol),,-413.2,21000.0,14.0,1.3392,45,21
2023-02-21,2023-03-21,Iron Condor (High Vol),,3332.27,21000.0,14.0,1.469,45,25
2023-02-22,2023-03-27,Iron Condor (High Vol),,3756.26,21000.0,14.0,1.5007,45,22
2023-06-02,2023-07-10,Bull Call Diagonal,,6770.45,22500.0,15.0,1.1196,45,21
2023-07-11,2023-08-14,Bull Call Diagonal,,2744.58,22500.0,15.0,1.0556,45,21
2023-08-14,2023-08-17,Bull Call Diagonal,,-3586.47,22500.0,15.0,1.0528,45,42
2023-08-29,2023-09-15,Bull Call Diagonal,,-2620.04,22500.0,15.0,1.0661,45,33
2023-10-04,2023-11-01,Iron Condor,,3764.25,22500.0,15.0,1.8769,45,25
2023-11-03,2023-12-08,Iron Condor,,-318.15,22500.0,15.0,2.3267,45,21
2023-12-08,2024-01-16,Bull Call Diagonal,,8625.06,22500.0,15.0,1.2143,45,21
2024-01-16,2024-02-20,Bull Call Diagonal,,9468.46,22500.0,15.0,1.0542,45,21
2024-02-13,2024-02-27,Bull Put Spread,,5341.77,22500.0,15.0,2.1632,30,21
2024-02-27,2024-04-02,Bull Call Diagonal,,6322.74,22500.0,15.0,1.0179,45,21
2024-04-02,2024-04-15,Bull Call Diagonal,,-3102.34,22500.0,15.0,0.9199,45,36
2024-04-12,2024-05-03,Iron Condor,,4384.35,22500.0,15.0,1.6806,45,30
2024-05-03,2024-06-07,Iron Condor,,1035.86,22500.0,15.0,2.1928,45,21
2024-06-07,2024-07-15,Bull Call Diagonal,,11241.52,22500.0,15.0,1.0542,45,21
2024-07-15,2024-08-02,Bull Call Diagonal,,-3887.13,22500.0,15.0,0.9365,45,31
2024-08-06,2024-08-20,Iron Condor (High Vol),,1437.39,21000.0,14.0,0.5387,45,35
2024-08-07,2024-08-27,Iron Condor (High Vol),,1381.15,21000.0,14.0,0.5572,45,31
2024-08-01,2024-08-29,Iron Condor,,3874.05,22500.0,15.0,1.4703,45,25
2024-09-03,2024-09-24,Iron Condor,,3579.81,22500.0,15.0,1.2694,45,30
2024-11-08,2024-12-13,Bull Call Diagonal,,1882.84,22500.0,15.0,0.78,45,21
2024-12-13,2024-12-18,Bull Call Diagonal,,992.87,22500.0,15.0,0.8328,45,42
2024-12-24,2024-12-31,Bull Call Diagonal,,-3654.77,22500.0,15.0,0.8052,45,41
2025-01-21,2025-02-03,Bull Put Spread,,-2170.33,22500.0,15.0,1.8993,30,21
2024-12-30,2025-02-05,Iron Condor,,3936.66,22500.0,15.0,1.4331,45,21
2025-02-06,2025-02-20,Bull Put Spread,,1836.16,22500.0,15.0,1.8279,30,21
2025-02-20,2025-03-05,Bull Put Spread,,-9379.85,22500.0,15.0,1.8071,30,21
2025-02-21,2025-03-27,Iron Condor,,-1106.01,22500.0,15.0,1.3424,45,21
2025-04-09,2025-04-24,Iron Condor (High Vol),,1464.99,21000.0,14.0,0.4156,45,35
2025-04-14,2025-04-29,Iron Condor (High Vol),,1351.35,21000.0,14.0,0.4663,45,35
2025-03-27,2025-05-01,Iron Condor,,754.35,22500.0,15.0,1.3794,45,21
2025-05-02,2025-05-13,Bull Put Spread (High Vol),,3455.94,21000.0,14.0,1.2973,35,28
2025-04-24,2025-05-29,Iron Condor (High Vol),,1206.54,21000.0,14.0,0.5416,45,21
2025-05-16,2025-05-30,Bull Put Spread,,-871.59,22500.0,15.0,1.6833,30,21
2025-06-03,2025-06-16,Bull Put Spread,,1965.89,22500.0,15.0,1.6302,30,21
2025-07-07,2025-07-18,Bull Put Spread,,3130.72,22500.0,15.0,1.5782,30,21
2025-07-25,2025-08-28,Bull Call Diagonal,,4056.19,22500.0,15.0,0.7328,45,21
2025-09-02,2025-09-15,Bull Put Spread,,5283.38,22500.0,15.0,1.5775,30,21
2025-08-28,2025-10-02,Bull Call Diagonal,,7591.78,22500.0,15.0,0.7448,45,21
2025-09-25,2025-10-08,Bull Put Spread,,4214.15,22500.0,15.0,1.577,30,21
2025-10-23,2025-11-05,Bull Put Spread,,1995.76,22500.0,15.0,1.4969,30,21
2025-11-17,2025-12-02,Iron Condor (High Vol),,3504.67,21000.0,14.0,0.9039,45,35
2025-11-13,2025-12-03,Iron Condor,,3753.15,22500.0,15.0,1.1101,45,32
2025-12-09,2025-12-22,Bull Put Spread,,3168.29,22500.0,15.0,1.4943,30,21
2025-12-18,2026-01-22,Iron Condor,,3744.78,22500.0,15.0,1.304,45,23
2026-01-14,2026-01-28,Bull Put Spread,,2324.05,22500.0,15.0,1.4973,30,21
2026-01-29,2026-02-11,Bull Put Spread,,-18.03,22500.0,15.0,1.4815,30,21
2026-02-12,2026-03-19,Iron Condor,,1038.71,22500.0,15.0,1.0436,45,21
2026-03-09,2026-04-06,Iron Condor (High Vol),,1362.74,21000.0,14.0,0.4608,45,26
2026-03-10,2026-04-08,Iron Condor (High Vol),,1824.83,21000.0,14.0,0.4797,45,25
2026-04-17,2026-04-30,Bull Put Spread,,2938.44,22500.0,15.0,1.3984,30,21
2026-04-08,2026-05-08,Iron Condor,,-2410.4,22500.0,15.0,1.0208,45,23
2026-04-30,2026-05-08,Bull Put Spread,,3890.11,22500.0,15.0,1.4321,30,24
