date,main,aftermath,dd_overlay,hv_ladder,portfolio_total
2007-03-19,41.68,0.00,22.09,-4.21,59.55
2007-03-20,41.68,0.00,22.09,-4.21,59.55
2007-03-21,41.68,0.00,22.09,-4.21,59.55
2007-03-22,41.68,0.00,22.09,-4.21,59.55
2007-03-23,41.68,0.00,22.09,30.31,94.08
2007-03-26,41.68,0.00,22.09,30.31,94.08
2007-03-27,41.68,0.00,22.09,30.31,94.08
2007-03-28,41.68,0.00,22.09,30.31,94.08
2007-03-29,41.68,0.00,22.09,30.31,94.08
2007-03-30,41.68,0.00,22.09,30.31,94.08
2007-04-02,41.68,0.00,0.00,30.31,71.99
2007-04-03,41.68,0.00,0.00,82.39,124.07
2007-04-04,41.68,0.00,0.00,95.16,136.83
2007-04-05,41.68,0.00,0.00,95.16,136.83
2007-04-09,41.68,0.00,0.00,95.16,136.83
2007-04-10,41.68,0.00,0.00,95.16,136.83
2007-04-11,41.68,0.00,0.00,148.14,189.81
2007-04-12,41.68,0.00,0.00,148.14,189.81
2007-04-13,41.68,0.00,0.00,148.14,189.81
2007-04-16,41.68,0.00,0.00,148.14,189.81
2007-04-17,398.17,0.00,0.00,148.14,546.31
2007-04-18,356.50,0.00,0.00,182.06,538.55
2007-04-19,356.50,0.00,0.00,182.06,538.55
2007-04-20,356.50,0.00,0.00,182.06,538.55
2007-04-23,356.50,0.00,0.00,138.98,495.48
2007-04-24,356.50,0.00,0.00,138.98,495.48
2007-04-25,356.50,0.00,0.00,173.14,529.64
2007-04-26,356.50,0.00,0.00,173.14,529.64
2007-04-27,356.50,0.00,0.00,121.06,477.56
2007-04-30,356.50,0.00,0.00,121.06,477.56
2007-05-01,356.50,0.00,0.00,121.06,477.56
2007-05-02,356.50,0.00,0.00,127.51,484.01
2007-05-03,356.50,0.00,0.00,127.51,484.01
2007-05-04,356.50,0.00,0.00,74.53,431.03
2007-05-07,356.50,0.00,0.00,74.53,431.03
2007-05-08,356.50,0.00,0.00,74.53,431.03
2007-05-09,356.50,0.00,0.00,102.72,459.22
2007-05-10,356.50,0.00,0.00,102.72,459.22
2007-05-11,356.50,0.00,0.00,102.72,459.22
2007-05-14,356.50,0.00,0.00,102.72,459.22
2007-05-15,356.50,0.00,0.00,102.72,459.22
2007-05-16,356.50,0.00,0.00,102.72,459.22
2007-05-17,356.50,0.00,0.00,102.72,459.22
2007-05-18,356.50,0.00,0.00,102.72,459.22
2007-05-21,254.55,0.00,0.00,102.72,357.27
2007-05-22,-101.95,0.00,0.00,113.26,11.31
2007-05-23,-101.95,0.00,0.00,79.35,-22.60
2007-05-24,-101.95,0.00,0.00,79.35,-22.60
2007-05-25,-101.95,0.00,0.00,79.35,-22.60
2007-05-29,-101.95,0.00,0.00,79.35,-22.60
2007-05-30,-101.95,0.00,0.00,79.35,-22.60
2007-05-31,-101.95,0.00,0.00,79.35,-22.60
2007-06-01,-101.95,0.00,0.00,96.64,-5.31
2007-06-04,-101.95,0.00,0.00,62.48,-39.47
2007-06-05,-101.95,0.00,0.00,62.48,-39.47
2007-06-06,-101.95,0.00,0.00,62.48,-39.47
2007-06-07,-101.95,0.00,0.00,62.48,-39.47
2007-06-08,-101.95,0.00,0.00,62.48,-39.47
2007-06-11,-101.95,0.00,0.00,62.48,-39.47
2007-06-12,-101.95,0.00,0.00,62.48,-39.47
2007-06-13,-101.95,0.00,0.00,64.09,-37.86
2007-06-14,-101.95,0.00,0.00,64.09,-37.86
2007-06-15,-101.95,0.00,0.00,64.09,-37.86
2007-06-18,-101.95,0.00,0.00,64.09,-37.86
2007-06-19,-101.95,0.00,0.00,64.09,-37.86
2007-06-20,-101.95,0.00,0.00,35.90,-66.05
2007-06-21,-101.95,0.00,0.00,-44.58,-146.53
2007-06-22,-182.35,0.00,0.00,-44.58,-226.94
2007-06-25,-182.35,0.00,0.00,-44.58,-226.94
2007-06-26,-80.40,0.00,0.00,-44.58,-124.99
2007-06-27,-80.40,0.00,0.00,-44.58,-124.99
2007-06-28,-80.40,0.00,0.00,-44.58,-124.99
2007-06-29,-80.40,0.00,0.00,-44.58,-124.99
2007-07-02,-80.40,0.00,0.00,-44.58,-124.99
2007-07-03,-80.40,0.00,0.00,-169.31,-249.71
2007-07-05,-80.40,0.00,0.00,-169.31,-249.71
2007-07-06,-80.40,0.00,0.00,-169.31,-249.71
2007-07-09,-80.40,0.00,0.00,-169.31,-249.71
2007-07-10,-80.40,0.00,0.00,-169.31,-249.71
2007-07-11,-80.40,0.00,0.00,-169.31,-249.71
2007-07-12,-80.40,0.00,0.00,-319.41,-399.81
2007-07-13,-80.40,0.00,0.00,-336.71,-417.11
2007-07-16,-80.40,0.00,0.00,-336.71,-417.11
2007-07-17,-80.40,0.00,0.00,-336.71,-417.11
2007-07-18,-80.40,0.00,0.00,-336.71,-417.11
2007-07-19,-80.40,0.00,0.00,-336.71,-417.11
2007-07-20,-80.40,0.00,0.00,-336.71,-417.11
2007-07-23,-80.40,0.00,0.00,-336.71,-417.11
2007-07-24,-80.40,0.00,0.00,-336.71,-417.11
2007-07-25,-80.40,0.00,0.00,-344.77,-425.17
2007-07-26,-80.40,0.00,0.00,-344.77,-425.17
2007-07-27,-80.40,0.00,-73.47,-344.77,-498.64
2007-07-30,0.00,0.00,-73.47,-344.77,-418.24
2007-07-31,0.00,0.00,-73.47,-344.77,-418.24
2007-08-01,0.00,0.00,-73.47,-344.77,-418.24
2007-08-02,0.00,0.00,-73.47,-264.28,-337.75
2007-08-03,0.00,0.00,-73.47,-264.28,-337.75
2007-08-06,0.00,0.00,-73.47,-264.28,-337.75
2007-08-07,0.00,0.00,-73.47,-264.28,-337.75
2007-08-08,77.68,0.00,-73.47,-264.28,-260.07
2007-08-09,77.68,0.00,-73.47,-264.28,-260.07
2007-08-10,77.68,0.00,-73.47,-264.28,-260.07
2007-08-13,77.68,0.00,-73.47,-264.28,-260.07
2007-08-14,77.68,0.00,-73.47,-150.10,-145.89
2007-08-15,77.68,0.00,-73.47,-150.10,-145.89
2007-08-16,77.68,0.00,-73.47,-150.10,-145.89
2007-08-17,77.68,0.00,-73.47,-150.10,-145.89
2007-08-20,77.68,68.77,-73.47,-150.10,-77.12
2007-08-21,77.68,131.54,-73.47,-150.10,-14.35
2007-08-22,77.68,131.54,-73.47,0.00,135.75
2007-08-23,77.68,131.54,-73.47,0.00,135.75
2007-08-24,77.68,131.54,-73.47,0.00,135.75
2007-08-27,77.68,131.54,-73.47,0.00,135.75
2007-08-28,77.68,131.54,0.00,0.00,209.22
2007-08-29,77.68,131.54,0.00,0.00,209.22
2007-08-30,77.68,131.54,0.00,0.00,209.22
2007-08-31,77.68,131.54,0.00,0.00,209.22
2007-09-04,77.68,131.54,0.00,0.00,209.22
2007-09-05,77.68,131.54,0.00,0.00,209.22
2007-09-06,77.68,131.54,0.00,0.00,209.22
2007-09-07,77.68,131.54,0.00,0.00,209.22
2007-09-10,77.68,131.54,0.00,0.00,209.22
2007-09-11,77.68,131.54,0.00,0.00,209.22
2007-09-12,77.68,131.54,0.00,0.00,209.22
2007-09-13,0.00,131.54,0.00,0.00,131.54
2007-09-14,0.00,131.54,0.00,0.00,131.54
2007-09-17,0.00,131.54,0.00,0.00,131.54
2007-09-18,0.00,131.54,0.00,43.55,175.08
2007-09-19,0.00,62.77,0.00,43.55,106.31
2007-09-20,0.00,62.77,0.00,43.55,106.31
2007-09-21,0.00,0.00,0.00,43.55,43.55
2007-09-24,0.00,0.00,0.00,43.55,43.55
2007-09-25,0.00,0.00,0.00,55.60,55.60
2007-09-26,0.00,0.00,0.00,55.60,55.60
2007-09-27,0.00,0.00,0.00,55.60,55.60
2007-09-28,0.00,0.00,0.00,55.60,55.60
2007-10-01,0.00,0.00,0.00,55.60,55.60
2007-10-02,0.00,0.00,0.00,-62.13,-62.13
2007-10-03,0.00,0.00,0.00,-62.13,-62.13
2007-10-04,0.00,0.00,0.00,-62.13,-62.13
2007-10-05,0.00,0.00,0.00,-62.13,-62.13
2007-10-08,0.00,0.00,0.00,-62.13,-62.13
2007-10-09,0.00,0.00,0.00,-217.26,-217.26
2007-10-10,0.00,0.00,0.00,-217.26,-217.26
2007-10-11,0.00,0.00,0.00,-217.26,-217.26
2007-10-12,0.00,0.00,0.00,-217.26,-217.26
2007-10-15,0.00,0.00,0.00,-217.26,-217.26
2007-10-16,0.00,0.00,0.00,-217.26,-217.26
2007-10-17,0.00,0.00,0.00,-217.26,-217.26
2007-10-18,0.00,0.00,0.00,-217.26,-217.26
2007-10-19,0.00,0.00,0.00,-217.26,-217.26
2007-10-22,0.00,0.00,-80.59,-217.26,-297.86
2007-10-23,0.00,0.00,-80.59,-227.89,-308.49
2007-10-24,0.00,0.00,-80.59,-227.89,-308.49
2007-10-25,0.00,0.00,-80.59,-227.89,-308.49
2007-10-26,0.00,0.00,-80.59,-227.89,-308.49
2007-10-29,0.00,0.00,-80.59,-271.44,-352.03
2007-10-30,0.00,0.00,-80.59,-271.44,-352.03
2007-10-31,0.00,0.00,-80.59,-271.44,-352.03
2007-11-01,0.00,0.00,-80.59,-271.44,-352.03
2007-11-02,0.00,160.61,-80.59,-271.44,-191.42
2007-11-05,0.00,160.61,-80.59,-283.50,-203.48
2007-11-06,0.00,160.61,-80.59,-283.50,-203.48
2007-11-07,0.00,160.61,-80.59,-283.50,-203.48
2007-11-08,0.00,160.61,-80.59,-283.50,-203.48
2007-11-09,0.00,160.61,-80.59,-283.50,-203.48
2007-11-12,0.00,160.61,-80.59,-165.77,-85.75
2007-11-13,0.00,247.72,-80.59,-165.77,1.36
2007-11-14,0.00,247.72,-80.59,-165.77,1.36
2007-11-15,0.00,247.72,-80.59,-165.77,1.36
2007-11-16,0.00,247.72,-80.59,-165.77,1.36
2007-11-19,0.00,247.72,-80.59,-10.63,156.50
2007-11-20,0.00,247.72,-80.59,-10.63,156.50
2007-11-21,0.00,247.72,-80.59,-10.63,156.50
2007-11-23,0.00,247.72,0.00,-10.63,237.09
2007-11-26,0.00,247.72,0.00,-10.63,237.09
2007-11-27,0.00,247.72,0.00,-10.63,237.09
2007-11-28,0.00,247.72,0.00,-10.63,237.09
2007-11-29,0.00,247.72,0.00,-10.63,237.09
2007-11-30,0.00,247.72,0.00,-10.63,237.09
2007-12-03,0.00,247.72,0.00,-10.63,237.09
2007-12-04,0.00,247.72,0.00,0.00,247.72
2007-12-05,0.00,247.72,0.00,0.00,247.72
2007-12-06,-108.17,247.72,0.00,0.00,139.55
2007-12-07,-108.17,0.00,0.00,0.00,-108.17
2007-12-10,-108.17,0.00,0.00,0.00,-108.17
2007-12-11,-108.17,292.17,0.00,0.00,184.00
2007-12-12,-108.17,50.08,0.00,0.00,-58.09
2007-12-13,-108.17,50.08,0.00,0.00,-58.09
2007-12-14,-108.17,50.08,0.00,0.00,-58.09
2007-12-17,-108.17,50.08,0.00,0.00,-58.09
2007-12-18,-108.17,50.08,0.00,0.00,-58.09
2007-12-19,-108.17,50.08,0.00,0.00,-58.09
2007-12-20,-108.17,50.08,0.00,0.00,-58.09
2007-12-21,-108.17,50.08,0.00,0.00,-58.09
2007-12-24,-108.17,50.08,0.00,0.00,-58.09
2007-12-26,-108.17,50.08,0.00,-289.15,-347.24
2007-12-27,-108.17,-242.09,0.00,-289.15,-639.40
2007-12-28,-108.17,-242.09,0.00,-289.15,-639.40
2007-12-31,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-02,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-03,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-04,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-07,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-08,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-09,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-10,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-11,-108.17,-422.22,0.00,-289.15,-819.53
2008-01-14,0.00,-422.22,0.00,-289.15,-711.37
2008-01-15,0.00,-422.22,0.00,-289.15,-711.37
2008-01-16,0.00,-422.22,0.00,-289.15,-711.37
2008-01-17,0.00,-422.22,0.00,-289.15,-711.37
2008-01-18,0.00,-180.13,0.00,-289.15,-469.28
2008-01-22,0.00,-180.13,0.00,-289.15,-469.28
2008-01-23,0.00,-180.13,0.00,-289.15,-469.28
2008-01-24,0.00,-98.23,0.00,-289.15,-387.38
2008-01-25,0.00,-98.23,0.00,-289.15,-387.38
2008-01-28,0.00,-98.23,0.00,-289.15,-387.38
2008-01-29,0.00,-98.23,12.85,-289.15,-374.52
2008-01-30,0.00,-98.23,12.85,-289.15,-374.52
2008-01-31,0.00,-98.23,12.85,-289.15,-374.52
2008-02-01,0.00,-98.23,12.85,-289.15,-374.52
2008-02-04,0.00,-98.23,12.85,-289.15,-374.52
2008-02-05,0.00,-98.23,12.85,-289.15,-374.52
2008-02-06,0.00,81.90,12.85,-289.15,-194.39
2008-02-07,0.00,81.90,12.85,0.00,94.75
2008-02-08,0.00,81.90,12.85,0.00,94.75
2008-02-11,0.00,81.90,12.85,0.00,94.75
2008-02-12,0.00,81.90,12.85,0.00,94.75
2008-02-13,0.00,81.90,12.85,0.00,94.75
2008-02-14,0.00,81.90,12.85,0.00,94.75
2008-02-15,0.00,0.00,12.85,0.00,12.85
2008-02-19,0.00,0.00,12.85,0.00,12.85
2008-02-20,0.00,0.00,12.85,0.00,12.85
2008-02-21,0.00,0.00,12.85,0.00,12.85
2008-02-22,0.00,0.00,12.85,0.00,12.85
2008-02-25,0.00,0.00,12.85,0.00,12.85
2008-02-26,0.00,0.00,12.85,0.00,12.85
2008-02-27,0.00,133.33,12.85,0.00,146.19
2008-02-28,0.00,133.33,12.85,0.00,146.19
2008-02-29,0.00,133.33,12.85,0.00,146.19
2008-03-03,0.00,133.33,12.85,0.00,146.19
2008-03-04,0.00,133.33,12.85,0.00,146.19
2008-03-05,0.00,133.33,12.85,0.00,146.19
2008-03-06,0.00,133.33,12.85,0.00,146.19
2008-03-07,0.00,133.33,12.85,0.00,146.19
2008-03-10,0.00,133.33,12.85,0.00,146.19
2008-03-11,0.00,207.16,12.85,0.00,220.01
2008-03-12,0.00,207.16,12.85,0.00,220.01
2008-03-13,0.00,207.16,12.85,0.00,220.01
2008-03-14,0.00,207.16,12.85,0.00,220.01
2008-03-17,0.00,207.16,12.85,0.00,220.01
2008-03-18,0.00,157.98,12.85,0.00,170.84
2008-03-19,0.00,157.98,12.85,0.00,170.84
2008-03-20,0.00,157.98,12.85,0.00,170.84
2008-03-24,0.00,157.98,12.85,0.00,170.84
2008-03-25,0.00,157.98,12.85,0.00,170.84
2008-03-26,0.00,157.98,12.85,0.00,170.84
2008-03-27,0.00,157.98,12.85,0.00,170.84
2008-03-28,0.00,157.98,12.85,0.00,170.84
2008-03-31,0.00,157.98,12.85,0.00,170.84
2008-04-01,0.00,157.98,12.85,62.50,233.34
2008-04-02,0.00,157.98,12.85,62.50,233.34
2008-04-03,0.00,157.98,12.85,62.50,233.34
2008-04-04,0.00,157.98,12.85,62.50,233.34
2008-04-07,0.00,157.98,12.85,62.50,233.34
2008-04-08,0.00,157.98,12.85,137.65,308.49
2008-04-09,0.00,84.16,12.85,137.65,234.66
2008-04-10,333.06,0.00,12.85,137.65,483.56
2008-04-11,333.06,143.59,12.85,137.65,627.16
2008-04-14,333.06,99.42,12.85,137.65,582.98
2008-04-15,333.06,99.42,12.85,137.65,582.98
2008-04-16,333.06,99.42,12.85,200.62,645.95
2008-04-17,333.06,99.42,12.85,200.62,645.95
2008-04-18,333.06,99.42,12.85,200.62,645.95
2008-04-21,333.06,99.42,12.85,200.62,645.95
2008-04-22,333.06,99.42,12.85,200.62,645.95
2008-04-23,333.06,99.42,12.85,272.24,717.57
2008-04-24,0.00,99.42,12.85,272.24,384.51
2008-04-25,0.00,99.42,12.85,272.24,384.51
2008-04-28,0.00,99.42,12.85,272.24,384.51
2008-04-29,0.00,99.42,0.00,272.24,371.66
2008-04-30,0.00,99.42,0.00,272.24,371.66
2008-05-01,0.00,99.42,0.00,272.24,371.66
2008-05-02,0.00,99.42,0.00,206.53,305.94
2008-05-05,0.00,99.42,0.00,68.88,168.29
2008-05-06,0.00,99.42,0.00,68.88,168.29
2008-05-07,0.00,99.42,0.00,68.88,168.29
2008-05-08,0.00,99.42,0.00,68.88,168.29
2008-05-09,0.00,99.42,0.00,58.82,158.24
2008-05-12,0.00,99.42,0.00,58.82,158.24
2008-05-13,0.00,99.42,0.00,58.82,158.24
2008-05-14,0.00,-44.18,0.00,58.82,14.64
2008-05-15,0.00,-44.18,0.00,58.82,14.64
2008-05-16,0.00,-44.18,0.00,-238.21,-282.39
2008-05-19,0.00,0.00,0.00,-309.83,-309.83
2008-05-20,0.00,0.00,0.00,-309.83,-309.83
2008-05-21,0.00,0.00,0.00,-309.83,-309.83
2008-05-22,0.00,0.00,0.00,-309.83,-309.83
2008-05-23,0.00,0.00,0.00,-309.83,-309.83
2008-05-27,0.00,0.00,0.00,-488.63,-488.63
2008-05-28,0.00,0.00,0.00,-488.63,-488.63
2008-05-29,0.00,0.00,0.00,-488.63,-488.63
2008-05-30,0.00,0.00,0.00,-488.63,-488.63
2008-06-02,0.00,0.00,0.00,-488.63,-488.63
2008-06-03,0.00,0.00,0.00,-488.63,-488.63
2008-06-04,-260.76,0.00,0.00,-488.63,-749.39
2008-06-05,-260.76,0.00,0.00,-488.63,-749.39
2008-06-06,-260.76,0.00,0.00,-488.63,-749.39
2008-06-09,-260.76,0.00,0.00,-488.63,-749.39
2008-06-10,-260.76,0.00,0.00,-488.63,-749.39
2008-06-11,-260.76,0.00,0.00,-488.63,-749.39
2008-06-12,-260.76,0.00,0.00,-488.63,-749.39
2008-06-13,-260.76,0.00,0.00,-422.91,-683.67
2008-06-16,-260.76,0.00,0.00,-422.91,-683.67
2008-06-17,-260.76,0.00,0.00,-422.91,-683.67
2008-06-18,-260.76,182.11,0.00,-422.91,-501.56
2008-06-19,-260.76,182.11,0.00,-422.91,-501.56
2008-06-20,-260.76,182.11,0.00,-412.86,-491.50
2008-06-23,-260.76,182.11,0.00,-412.86,-491.50
2008-06-24,-260.76,182.11,0.00,-412.86,-491.50
2008-06-25,-260.76,182.11,0.00,-412.86,-491.50
2008-06-26,-260.76,182.11,0.00,-412.86,-491.50
2008-06-27,-260.76,182.11,0.00,-178.80,-257.45
2008-06-30,-260.76,182.11,0.00,-178.80,-257.45
2008-07-01,-260.76,182.11,0.00,-178.80,-257.45
2008-07-02,-260.76,182.11,0.00,-178.80,-257.45
2008-07-03,-260.76,0.00,0.00,-178.80,-439.56
2008-07-07,-260.76,0.00,0.00,-178.80,-439.56
2008-07-08,-260.76,0.00,0.00,0.00,-260.76
2008-07-09,-260.76,0.00,0.00,0.00,-260.76
2008-07-10,0.00,0.00,0.00,0.00,0.00
2008-07-11,0.00,0.00,0.00,0.00,0.00
2008-07-14,0.00,0.00,0.00,0.00,0.00
2008-07-15,0.00,0.00,0.00,0.00,0.00
2008-07-16,0.00,84.54,0.00,0.00,84.54
2008-07-17,0.00,84.54,0.00,0.00,84.54
2008-07-18,0.00,84.54,0.00,0.00,84.54
2008-07-21,0.00,161.13,0.00,0.00,161.13
2008-07-22,0.00,161.13,0.00,0.00,161.13
2008-07-23,0.00,161.13,0.00,0.00,161.13
2008-07-24,0.00,161.13,0.00,0.00,161.13
2008-07-25,0.00,161.13,0.00,0.00,161.13
2008-07-28,0.00,161.13,0.00,0.00,161.13
2008-07-29,0.00,161.13,0.00,0.00,161.13
2008-07-30,0.00,161.13,0.00,0.00,161.13
2008-07-31,0.00,161.13,0.00,0.00,161.13
2008-08-01,0.00,161.13,0.00,0.00,161.13
2008-08-04,0.00,161.13,0.00,0.00,161.13
2008-08-05,0.00,161.13,0.00,0.00,161.13
2008-08-06,0.00,161.13,0.00,0.00,161.13
2008-08-07,0.00,76.59,0.00,0.00,76.59
2008-08-08,0.00,76.59,0.00,0.00,76.59
2008-08-11,0.00,76.59,0.00,0.00,76.59
2008-08-12,0.00,76.59,0.00,0.00,76.59
2008-08-13,0.00,76.59,0.00,0.00,76.59
2008-08-14,0.00,76.59,0.00,0.00,76.59
2008-08-15,0.00,76.59,0.00,0.00,76.59
2008-08-18,0.00,76.59,0.00,0.00,76.59
2008-08-19,0.00,76.59,0.00,0.00,76.59
2008-08-20,0.00,76.59,0.00,0.00,76.59
2008-08-21,0.00,76.59,0.00,0.00,76.59
2008-08-22,0.00,0.00,0.00,0.00,0.00
2008-08-25,0.00,0.00,0.00,0.00,0.00
2008-08-26,0.00,0.00,0.00,0.00,0.00
2008-08-27,0.00,0.00,0.00,0.00,0.00
2008-08-28,0.00,0.00,0.00,-783.52,-783.52
2008-08-29,0.00,0.00,0.00,-783.52,-783.52
2008-09-02,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-03,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-04,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-05,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-08,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-09,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-10,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-11,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-12,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-15,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-16,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-17,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-18,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-19,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-22,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-23,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-24,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-25,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-26,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-29,-445.04,0.00,0.00,-783.52,-1228.55
2008-09-30,-445.04,0.00,0.00,-783.52,-1228.55
2008-10-01,-445.04,0.00,0.00,-783.52,-1228.55
2008-10-02,-445.04,0.00,0.00,-783.52,-1228.55
2008-10-03,-445.04,0.00,0.00,-783.52,-1228.55
2008-10-06,-445.04,0.00,0.00,-783.52,-1228.55
2008-10-07,0.00,0.00,0.00,-783.52,-783.52
2008-10-08,0.00,0.00,0.00,0.00,0.00
2008-10-09,0.00,0.00,0.00,0.00,0.00
2008-10-10,0.00,0.00,0.00,0.00,0.00
2008-10-13,0.00,0.00,0.00,0.00,0.00
2008-10-14,0.00,0.00,0.00,0.00,0.00
2008-10-15,0.00,0.00,0.00,0.00,0.00
2008-10-16,0.00,0.00,0.00,0.00,0.00
2008-10-17,0.00,0.00,0.00,0.00,0.00
2008-10-20,0.00,0.00,0.00,0.00,0.00
2008-10-21,0.00,0.00,0.00,0.00,0.00
2008-10-22,0.00,0.00,0.00,0.00,0.00
2008-10-23,0.00,0.00,0.00,0.00,0.00
2008-10-24,0.00,0.00,0.00,0.00,0.00
2008-10-27,0.00,0.00,0.00,0.00,0.00
2008-10-28,0.00,0.00,0.00,0.00,0.00
2008-10-29,0.00,0.00,0.00,0.00,0.00
2008-10-30,0.00,0.00,0.00,0.00,0.00
2008-10-31,0.00,0.00,0.00,0.00,0.00
2008-11-03,0.00,0.00,0.00,0.00,0.00
2008-11-04,0.00,0.00,0.00,0.00,0.00
2008-11-05,0.00,0.00,0.00,0.00,0.00
2008-11-06,0.00,0.00,0.00,0.00,0.00
2008-11-07,0.00,0.00,0.00,0.00,0.00
2008-11-10,0.00,0.00,0.00,0.00,0.00
2008-11-11,0.00,0.00,0.00,0.00,0.00
2008-11-12,0.00,0.00,0.00,0.00,0.00
2008-11-13,0.00,0.00,0.00,0.00,0.00
2008-11-14,0.00,0.00,0.00,0.00,0.00
2008-11-17,0.00,0.00,0.00,0.00,0.00
2008-11-18,0.00,0.00,0.00,0.00,0.00
2008-11-19,0.00,0.00,0.00,0.00,0.00
2008-11-20,0.00,0.00,0.00,0.00,0.00
2008-11-21,0.00,0.00,0.00,0.00,0.00
2008-11-24,0.00,0.00,0.00,0.00,0.00
2008-11-25,0.00,0.00,0.00,0.00,0.00
2008-11-26,0.00,0.00,0.00,0.00,0.00
2008-11-28,0.00,0.00,0.00,0.00,0.00
2008-12-01,0.00,0.00,0.00,0.00,0.00
2008-12-02,0.00,0.00,0.00,0.00,0.00
2008-12-03,0.00,0.00,0.00,0.00,0.00
2008-12-04,0.00,0.00,0.00,0.00,0.00
2008-12-05,0.00,0.00,0.00,0.00,0.00
2008-12-08,0.00,0.00,0.00,0.00,0.00
2008-12-09,0.00,0.00,0.00,0.00,0.00
2008-12-10,0.00,0.00,0.00,0.00,0.00
2008-12-11,0.00,0.00,0.00,0.00,0.00
