date,year,vix,ivr,ivp,iv_signal,trend,regime,strategy_key_actual,state
2000-08-29,2000,16.89,2.1,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-30,2000,17.69,6.8,3.6,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-31,2000,16.84,1.8,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-09-01,2000,17.53,5.9,4.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-09-05,2000,19.82,19.4,15.1,LOW,BULLISH,NORMAL,,a_double_blocked
2000-09-06,2000,20.79,25.1,24.3,LOW,BULLISH,NORMAL,,a_double_blocked
2000-09-07,2000,19.42,17.0,11.6,LOW,BULLISH,NORMAL,,a_double_blocked
2000-09-08,2000,18.46,11.4,6.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-09-11,2000,18.4,11.0,6.0,LOW,BULLISH,NORMAL,,a_double_blocked
2001-01-23,2001,21.57,29.7,32.7,LOW,BULLISH,NORMAL,,a_double_blocked
2001-02-01,2001,21.66,30.2,33.5,LOW,BULLISH,NORMAL,,a_double_blocked
2001-02-02,2001,21.95,32.0,36.3,LOW,BULLISH,NORMAL,,a_double_blocked
2001-02-06,2001,21.98,32.1,36.3,LOW,BULLISH,NORMAL,,a_double_blocked
2001-05-16,2001,21.89,29.5,34.3,LOW,BULLISH,NORMAL,,a_double_blocked
2001-05-17,2001,21.47,27.2,29.5,LOW,BULLISH,NORMAL,,a_double_blocked
2001-05-18,2001,21.23,25.8,27.9,LOW,BULLISH,NORMAL,,a_double_blocked
2001-05-21,2001,20.76,23.3,25.5,LOW,BULLISH,NORMAL,,a_double_blocked
2001-05-22,2001,21.35,26.5,29.1,LOW,BULLISH,NORMAL,,a_double_blocked
2001-05-24,2001,20.57,22.2,23.1,LOW,BULLISH,NORMAL,,a_double_blocked
2001-05-25,2001,20.6,22.4,23.9,LOW,BULLISH,NORMAL,,a_double_blocked
2001-06-01,2001,21.59,27.8,33.9,LOW,BULLISH,NORMAL,,a_double_blocked
2001-06-04,2001,21.38,26.7,30.7,LOW,BULLISH,NORMAL,,a_double_blocked
2001-06-05,2001,19.58,16.8,14.7,LOW,BULLISH,NORMAL,,a_double_blocked
2001-06-06,2001,20.39,21.2,22.7,LOW,BULLISH,NORMAL,,a_double_blocked
2001-06-07,2001,19.67,17.3,15.9,LOW,BULLISH,NORMAL,,a_double_blocked
2001-06-08,2001,19.92,18.6,18.3,LOW,BULLISH,NORMAL,,a_double_blocked
2001-06-11,2001,20.7,22.9,27.1,LOW,BULLISH,NORMAL,,a_double_blocked
2001-06-12,2001,20.7,22.9,27.1,LOW,BULLISH,NORMAL,,a_double_blocked
2001-12-27,2001,21.59,11.3,16.3,LOW,BULLISH,NORMAL,,a_double_blocked
2001-12-28,2001,21.4,10.6,13.9,LOW,BULLISH,NORMAL,,a_double_blocked
2002-01-03,2002,21.34,10.3,12.7,LOW,BULLISH,NORMAL,,a_double_blocked
2002-01-04,2002,20.45,6.8,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2002-01-07,2002,21.94,12.7,21.9,LOW,BULLISH,NORMAL,,a_double_blocked
2002-01-08,2002,21.83,12.3,20.7,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-04,2002,20.5,7.0,7.2,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-05,2002,20.3,6.2,5.6,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-06,2002,19.94,4.7,3.6,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-07,2002,20.04,5.1,5.2,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-08,2002,19.27,2.0,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-11,2002,19.84,4.3,3.2,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-12,2002,19.59,3.3,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-13,2002,19.46,2.8,2.0,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-14,2002,19.2,1.8,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-15,2002,18.42,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-18,2002,18.93,2.0,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-19,2002,18.16,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-20,2002,18.46,1.2,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-21,2002,18.15,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-22,2002,17.77,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-26,2002,18.13,1.4,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-27,2002,17.7,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2002-03-28,2002,17.4,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2002-04-01,2002,18.73,5.0,3.6,LOW,BULLISH,NORMAL,,a_double_blocked
2002-04-02,2002,19.16,6.7,5.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-17,2003,21.5,13.9,9.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-21,2003,21.95,15.5,10.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-22,2003,20.7,11.0,7.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-23,2003,20.8,11.3,8.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-24,2003,20.33,9.6,5.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-25,2003,20.8,11.3,8.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-28,2003,20.84,11.5,8.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-29,2003,20.76,11.2,8.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-04-30,2003,21.21,12.8,9.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-01,2003,21.59,14.2,10.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-02,2003,20.63,10.7,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-05,2003,21.13,12.5,8.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-06,2003,20.8,11.3,7.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-07,2003,21.0,12.1,9.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-08,2003,21.24,12.9,10.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-09,2003,19.69,7.3,3.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-12,2003,19.52,6.6,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-13,2003,19.91,8.1,4.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-14,2003,20.0,8.4,4.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-15,2003,19.24,5.6,1.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-16,2003,18.4,2.6,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-19,2003,20.51,8.5,6.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-20,2003,21.29,11.4,10.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-21,2003,21.21,11.1,9.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-22,2003,19.78,5.8,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-23,2003,19.17,2.9,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-27,2003,19.99,6.0,3.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-28,2003,20.03,6.1,4.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-29,2003,20.43,7.6,4.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-05-30,2003,19.47,4.0,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-02,2003,20.85,9.2,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-03,2003,20.84,9.1,8.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-04,2003,20.62,8.3,5.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-05,2003,20.83,9.1,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-06,2003,21.25,10.7,12.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-10,2003,20.64,8.4,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-11,2003,20.21,6.8,4.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-12,2003,20.41,7.5,5.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-13,2003,20.66,8.5,7.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-16,2003,20.22,6.8,4.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-17,2003,20.01,6.0,4.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-18,2003,19.76,5.1,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-19,2003,19.8,5.2,3.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-20,2003,19.14,2.8,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-23,2003,20.58,8.2,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-24,2003,20.75,8.8,10.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-25,2003,20.81,9.0,12.7,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-26,2003,19.4,3.7,1.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-27,2003,19.16,2.8,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-06-30,2003,19.52,4.2,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-01,2003,19.46,4.0,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-02,2003,19.03,2.4,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-03,2003,19.39,3.7,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-07,2003,20.06,6.2,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-08,2003,19.48,4.0,4.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-09,2003,18.93,2.0,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-10,2003,19.19,3.0,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-11,2003,18.47,0.3,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-14,2003,19.59,4.5,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-15,2003,19.55,4.3,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-16,2003,19.76,5.1,7.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-17,2003,20.22,6.8,12.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-18,2003,19.11,2.7,1.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-22,2003,19.17,2.9,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-23,2003,18.64,0.9,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-25,2003,17.75,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-07-28,2003,18.36,2.2,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-08-18,2003,18.18,1.7,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-08-19,2003,17.86,0.4,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-08-20,2003,17.82,0.3,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-08-21,2003,17.84,0.4,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-08-26,2003,19.49,7.0,12.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-08-27,2003,19.13,5.5,8.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-08-28,2003,18.48,2.9,4.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-08-29,2003,18.63,3.5,5.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-02,2003,19.02,5.1,8.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-03,2003,19.44,6.8,12.7,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-04,2003,18.71,3.9,6.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-05,2003,18.17,1.7,2.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-08,2003,18.26,2.0,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-09,2003,18.85,4.4,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-10,2003,20.01,9.1,23.1,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-11,2003,19.25,6.0,13.5,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-12,2003,18.68,3.7,7.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-15,2003,19.28,6.1,14.3,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-16,2003,18.03,1.1,2.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-17,2003,18.15,1.6,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-18,2003,17.57,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-19,2003,17.54,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-22,2003,19.65,8.4,21.9,LOW,BULLISH,NORMAL,,a_double_blocked
2003-09-23,2003,19.47,7.7,17.9,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-01,2003,21.07,14.1,38.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-02,2003,20.8,13.0,35.1,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-03,2003,19.5,7.8,19.9,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-06,2003,19.51,7.8,20.3,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-07,2003,19.41,7.6,17.1,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-08,2003,19.18,6.7,14.7,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-09,2003,18.82,6.4,10.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-10,2003,18.45,4.9,6.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-13,2003,17.55,0.1,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-14,2003,17.37,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-15,2003,17.69,1.7,1.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-16,2003,17.19,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-17,2003,17.62,2.5,2.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-20,2003,17.04,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-21,2003,16.55,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-22,2003,17.67,6.2,3.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-23,2003,17.68,6.2,3.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-24,2003,17.71,6.4,4.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-27,2003,18.05,8.3,7.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-28,2003,16.82,1.5,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-29,2003,16.43,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-30,2003,16.33,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-10-31,2003,16.1,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-03,2003,16.55,2.4,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-04,2003,16.55,2.4,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-05,2003,16.86,4.1,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-06,2003,16.74,3.4,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-07,2003,16.93,4.5,3.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-10,2003,17.62,8.2,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-11,2003,17.54,7.7,5.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-12,2003,16.75,3.5,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-13,2003,16.47,2.0,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-14,2003,16.94,4.5,4.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-17,2003,18.6,13.4,17.9,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-19,2003,18.8,14.5,21.1,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-24,2003,17.44,7.2,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-25,2003,16.71,3.3,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-26,2003,16.23,0.7,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-11-28,2003,16.32,1.2,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-01,2003,16.77,3.6,4.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-02,2003,16.27,0.9,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-03,2003,16.63,2.9,4.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-04,2003,16.3,1.1,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-05,2003,17.09,5.3,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-08,2003,16.54,2.4,3.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-09,2003,17.63,8.2,12.7,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-10,2003,17.87,9.5,16.3,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-11,2003,16.73,3.4,5.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-12,2003,16.41,1.7,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-15,2003,17.23,6.1,10.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-16,2003,15.93,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-17,2003,15.58,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-18,2003,16.16,3.0,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-19,2003,16.42,4.4,4.0,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-22,2003,16.94,7.1,10.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-23,2003,16.49,4.8,5.2,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-24,2003,16.66,5.7,7.6,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-26,2003,17.45,9.8,14.3,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-29,2003,17.09,7.9,12.4,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-30,2003,17.68,11.0,18.3,LOW,BULLISH,NORMAL,,a_double_blocked
2003-12-31,2003,18.31,14.3,25.1,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-02,2004,18.22,13.8,24.3,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-05,2004,17.49,10.0,15.1,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-06,2004,16.73,6.0,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-07,2004,15.5,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-08,2004,15.61,0.6,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-09,2004,16.75,6.5,10.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-12,2004,16.82,6.9,11.6,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-13,2004,18.04,13.2,25.1,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-14,2004,16.75,6.5,10.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-15,2004,15.56,0.3,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-16,2004,15.0,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-20,2004,15.21,1.1,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-27,2004,15.35,5.1,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-28,2004,16.78,12.2,15.1,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-29,2004,17.14,14.0,19.1,LOW,BULLISH,NORMAL,,a_double_blocked
2004-01-30,2004,16.63,11.5,11.2,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-02,2004,17.11,13.9,19.5,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-03,2004,17.34,15.0,21.1,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-04,2004,17.87,17.7,29.5,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-05,2004,17.71,16.9,27.5,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-06,2004,16.0,8.3,4.8,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-09,2004,16.39,10.3,8.0,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-10,2004,15.94,8.0,4.8,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-11,2004,15.39,5.3,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-12,2004,15.31,5.0,2.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-13,2004,15.58,6.4,4.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-17,2004,15.4,5.5,3.6,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-18,2004,15.59,6.5,5.6,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-19,2004,15.8,7.6,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-20,2004,16.04,8.8,8.0,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-23,2004,16.29,10.1,10.0,LOW,BULLISH,NORMAL,,a_double_blocked
2004-02-24,2004,15.9,8.1,6.8,LOW,BULLISH,NORMAL,,a_double_blocked
2004-03-08,2004,15.79,7.5,9.6,LOW,BULLISH,NORMAL,,a_double_blocked
2004-04-02,2004,15.64,8.8,9.6,LOW,BULLISH,NORMAL,,a_double_blocked
2004-04-06,2004,15.32,7.7,6.4,LOW,BULLISH,NORMAL,,a_double_blocked
2004-04-12,2004,15.28,9.3,6.0,LOW,BULLISH,NORMAL,,a_double_blocked
2004-06-01,2004,16.3,26.3,23.1,LOW,BULLISH,NORMAL,,a_double_blocked
2004-06-02,2004,16.08,23.8,19.9,LOW,BULLISH,NORMAL,,a_double_blocked
2004-06-07,2004,15.39,15.8,10.0,LOW,BULLISH,NORMAL,,a_double_blocked
2004-06-08,2004,15.01,11.5,7.2,LOW,BULLISH,NORMAL,,a_double_blocked
2004-06-09,2004,15.39,15.8,10.4,LOW,BULLISH,NORMAL,,a_double_blocked
