entry_date,exit_date,hold_days,entry_spx,exit_spx,entry_vix,exit_vix,long_strike,short_strike,long_entry_prem,short_entry_prem,long_exit_prem,short_exit_prem,entry_debit_per_share,entry_debit_usd,pnl_per_share,pnl_usd,period_roe,ivp_at_entry,ivr_at_entry
2012-09-25,2012-10-19,24,1441.59,1433.19,15.43,17.06,1400,1490,75.45,15.03,65.43,6.02,60.42,6041.8,-1.0,-100.22,-0.0166,11.6,6.2
2012-12-11,2013-01-04,24,1427.84,1466.47,15.57,13.83,1385,1480,76.17,13.95,96.37,14.71,62.23,6222.54,19.44,1943.59,0.3123,19.9,16.0
2013-02-21,2013-03-18,25,1502.42,1552.1,15.22,13.36,1460,1555,77.47,14.68,106.17,19.47,62.8,6279.75,23.9,2389.77,0.3806,27.1,20.3
2019-09-06,2019-09-30,24,2978.71,2976.74,15.0,16.24,2895,3080,152.22,29.12,140.66,13.64,123.09,12309.36,3.93,392.65,0.0319,37.5,13.9
2019-10-11,2019-11-04,24,2970.27,3078.27,15.58,12.83,2885,3075,155.93,30.1,219.19,42.81,125.84,12583.57,50.55,5055.2,0.4017,38.6,14.8
2020-11-24,2020-12-18,24,3635.41,3709.41,21.64,21.57,3485,3810,259.08,50.88,289.81,39.85,208.2,20820.45,41.75,4174.89,0.2005,24.3,14.2
2020-12-24,2021-01-19,26,3703.06,3798.91,21.53,23.24,3550,3880,263.11,51.57,316.79,49.54,211.53,21153.46,55.72,5571.88,0.2634,19.5,13.4
2021-01-20,2021-02-16,27,3851.85,3932.59,21.58,21.46,3695,4035,272.46,54.13,303.28,37.42,218.33,21833.4,47.53,4753.09,0.2177,14.3,12.4
2021-02-17,2021-03-15,26,3931.33,3968.94,21.5,20.03,3770,4120,278.36,54.38,269.64,23.16,223.98,22397.63,22.5,2250.22,0.1005,7.6,10.4
2021-03-16,2021-04-09,24,3962.71,4128.8,19.79,16.69,3815,4140,259.16,50.08,353.89,64.72,209.07,20907.09,80.1,8010.4,0.3831,0.0,0.0
2021-04-12,2021-05-06,24,4127.99,4201.62,16.91,18.39,4000,4285,232.44,45.33,272.18,43.23,187.12,18711.62,41.84,4183.88,0.2236,0.4,0.8
2021-05-07,2021-06-01,25,4232.6,4202.04,16.69,17.9,4100,4390,237.64,46.34,199.14,15.08,191.3,19130.23,-7.25,-724.54,-0.0379,1.2,1.8
2021-06-02,2021-06-28,26,4208.12,4290.61,17.48,15.76,4070,4375,246.14,47.24,273.99,31.34,198.91,19890.61,43.75,4375.27,0.22,6.4,5.0
2021-06-29,2021-07-23,24,4291.8,4411.79,16.02,17.2,4165,4445,230.94,45.27,306.47,61.49,185.67,18567.17,59.3,5929.87,0.3194,1.6,1.6
2021-07-26,2021-08-19,24,4422.3,4405.8,17.58,21.67,4275,4595,260.86,50.92,250.56,29.68,209.93,20993.26,10.96,1095.55,0.0522,17.1,10.0
2021-08-20,2021-09-13,24,4441.67,4468.73,18.56,19.37,4285,4625,275.24,53.72,273.12,30.43,221.52,22152.12,21.17,2117.19,0.0956,29.5,13.8
2021-09-15,2021-10-11,26,4480.7,4361.19,18.18,20.0,4330,4665,269.88,52.29,175.79,6.99,217.59,21758.68,-48.79,-4878.62,-0.2242,31.5,12.3
2021-10-18,2021-11-11,24,4486.46,4649.27,16.31,17.66,4350,4650,246.25,47.96,356.82,83.09,198.29,19828.93,75.45,7544.59,0.3805,8.4,4.9
2021-11-12,2021-12-06,24,4682.85,4591.67,16.29,27.18,4540,4855,257.15,49.54,252.63,35.47,207.61,20760.8,9.55,954.93,0.046,12.0,5.8
2021-12-23,2022-01-18,26,4725.79,4577.11,17.96,22.79,4565,4915,284.08,55.31,194.56,10.45,228.76,22876.29,-44.65,-4464.92,-0.1952,39.4,13.3
2022-08-10,2022-09-06,27,4210.24,3908.19,19.74,26.91,4055,4395,273.87,53.95,122.67,2.5,219.92,21991.93,-99.75,-9974.6,-0.4536,32.7,22.1
2022-11-22,2022-12-16,24,4003.58,3852.36,21.29,22.62,3840,4195,281.57,54.55,166.41,5.94,227.01,22701.13,-66.54,-6653.83,-0.2931,17.9,23.6
2023-01-11,2023-02-06,26,3969.61,4111.08,21.09,19.43,3810,4155,276.12,54.33,350.91,56.42,221.79,22179.04,72.7,7270.31,0.3278,12.4,18.4
2023-02-07,2023-03-03,24,4164.0,4045.64,18.66,18.49,4020,4340,256.85,49.73,153.64,5.01,207.12,20712.03,-58.49,-5849.29,-0.2824,2.0,4.3
2023-03-06,2023-03-30,24,4048.42,4050.83,18.61,19.02,3905,4215,251.63,49.35,231.22,21.67,202.27,20227.42,7.28,727.71,0.036,2.8,4.0
2023-03-31,2023-04-24,24,4109.31,4137.04,18.7,16.89,3965,4280,255.21,50.1,240.42,20.96,205.11,20510.63,14.35,1434.75,0.07,3.6,4.9
2023-04-25,2023-05-19,24,4071.63,4191.98,18.76,16.81,3930,4245,252.39,48.77,311.7,48.01,203.62,20362.37,60.07,6006.9,0.295,8.4,12.6
2023-05-22,2023-06-15,24,4192.63,4425.84,17.21,14.5,4060,4355,239.99,46.76,399.47,109.02,193.23,19322.78,97.22,9722.04,0.5031,7.6,7.8
2023-07-06,2023-07-31,25,4411.59,4588.96,15.44,13.63,4285,4565,230.5,44.55,342.73,76.25,185.96,18595.54,80.53,8052.82,0.4331,8.8,12.2
2023-08-02,2023-08-28,26,4513.39,4433.31,16.09,15.08,4380,4675,243.44,47.85,155.85,4.72,195.58,19558.3,-44.45,-4445.18,-0.2273,17.9,15.3
2025-06-25,2025-07-21,26,6092.16,6305.6,16.76,16.65,5905,6320,340.32,66.86,470.77,94.39,273.46,27346.36,102.91,10291.06,0.3763,38.6,11.7
2025-07-22,2025-08-15,24,6309.62,6449.8,16.5,15.09,6115,6545,350.18,67.41,412.41,58.58,282.77,28276.62,71.06,7105.79,0.2513,31.1,9.4
2025-08-19,2025-09-12,24,6411.37,6584.29,15.57,14.76,6230,6635,334.68,65.57,428.97,76.03,269.11,26911.24,83.83,8382.59,0.3115,20.3,7.1
2025-09-15,2025-10-09,24,6615.28,6735.11,15.69,16.43,6425,6850,348.78,67.51,409.95,63.88,281.27,28127.43,64.8,6479.83,0.2304,25.1,7.4
2025-10-24,2025-11-17,24,6791.69,6672.41,16.37,22.38,6585,7045,373.55,71.5,321.09,32.23,302.05,30205.33,-13.2,-1320.09,-0.0437,37.1,9.1
2025-11-28,2025-12-22,24,6849.09,6878.49,16.35,14.08,6640,7100,376.91,73.2,339.46,24.74,303.71,30370.76,11.02,1101.55,0.0363,31.9,9.0
2026-01-07,2026-02-02,26,6920.93,6976.44,15.38,16.34,6725,7160,359.13,69.83,368.92,41.21,289.29,28929.27,38.42,3842.15,0.1328,17.1,4.9
