cell_id,vix_regime,iv_bucket,trend,selector_verdict,selector_reason,payoff_type,canonical_strategy,canonical_key,gated,consistent
NORMAL|LOW|NEUTRAL,NORMAL,LOW,NEUTRAL,Reduce / Wait,NORMAL + IV LOW + NEUTRAL — no directional edge and premium cheap; skip,WAIT,Reduce / Wait,reduce_wait,True,True
NORMAL|LOW|BEARISH,NORMAL,LOW,BEARISH,Reduce / Wait,NORMAL + IV LOW + BEARISH — low premium insufficient for IC; skip,WAIT,Reduce / Wait,reduce_wait,True,True
HIGH_VOL|HIGH|BULLISH,HIGH_VOL,HIGH,BULLISH,Bull Put Spread (High Vol),"HIGH_VOL (22≤VIX<35) — elevated premium offsets risk; tighter params (δ0.2, 35DTE, 50% size)",CREDIT,Bull Put Spread (High Vol),bull_put_spread_hv,False,True
HIGH_VOL|HIGH|NEUTRAL,HIGH_VOL,HIGH,NEUTRAL,Iron Condor (High Vol),HIGH_VOL + NEUTRAL + VIX stable — inflated premium on both sides; symmetric IC captures vol risk premium without directional bet,CREDIT,Iron Condor (High Vol),iron_condor_hv,False,True
HIGH_VOL|HIGH|BEARISH,HIGH_VOL,HIGH,BEARISH,Iron Condor (High Vol),HIGH_VOL + BEARISH + IV HIGH + VIX stable — double-sided premium captures vol risk premium; IC_HV outperforms BCS_HV in this cell (SPEC-060),CREDIT,Iron Condor (High Vol),iron_condor_hv,False,True
HIGH_VOL|NEUTRAL|BULLISH,HIGH_VOL,NEUTRAL,BULLISH,Iron Condor (High Vol),HIGH_VOL + BULLISH + IV NEUTRAL + VIX stable — IC_HV dominates BPS_HV in this cell; double-sided premium with no directional bet (SPEC-060),CREDIT,Iron Condor (High Vol),iron_condor_hv,False,True
HIGH_VOL|NEUTRAL|NEUTRAL,HIGH_VOL,NEUTRAL,NEUTRAL,Iron Condor (High Vol),HIGH_VOL + NEUTRAL + VIX stable — inflated premium on both sides; symmetric IC captures vol risk premium without directional bet,CREDIT,Iron Condor (High Vol),iron_condor_hv,False,True
HIGH_VOL|NEUTRAL|BEARISH,HIGH_VOL,NEUTRAL,BEARISH,Bear Call Spread (High Vol),HIGH_VOL + BEARISH + VIX stable — inflated call premium with directional tailwind; δ0.20 short call has high PoP,CREDIT,Bear Call Spread (High Vol),bear_call_spread_hv,False,True
HIGH_VOL|LOW|BULLISH,HIGH_VOL,LOW,BULLISH,Bull Put Spread (High Vol),"HIGH_VOL (22≤VIX<35) — elevated premium offsets risk; tighter params (δ0.2, 35DTE, 50% size)",CREDIT,Bull Put Spread (High Vol),bull_put_spread_hv,False,True
HIGH_VOL|LOW|NEUTRAL,HIGH_VOL,LOW,NEUTRAL,Iron Condor (High Vol),HIGH_VOL + NEUTRAL + VIX stable — inflated premium on both sides; symmetric IC captures vol risk premium without directional bet,CREDIT,Iron Condor (High Vol),iron_condor_hv,False,True
HIGH_VOL|LOW|BEARISH,HIGH_VOL,LOW,BEARISH,Bear Call Spread (High Vol),HIGH_VOL + BEARISH + VIX stable — inflated call premium with directional tailwind; δ0.20 short call has high PoP,CREDIT,Bear Call Spread (High Vol),bear_call_spread_hv,False,True
EXTREME_VOL|HIGH|BULLISH,EXTREME_VOL,HIGH,BULLISH,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Bull Put Spread (High Vol),bull_put_spread_hv,True,True
EXTREME_VOL|HIGH|NEUTRAL,EXTREME_VOL,HIGH,NEUTRAL,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Iron Condor (High Vol),iron_condor_hv,True,True
EXTREME_VOL|HIGH|BEARISH,EXTREME_VOL,HIGH,BEARISH,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Bear Call Spread (High Vol),bear_call_spread_hv,True,True
EXTREME_VOL|NEUTRAL|BULLISH,EXTREME_VOL,NEUTRAL,BULLISH,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Bull Put Spread (High Vol),bull_put_spread_hv,True,True
EXTREME_VOL|NEUTRAL|NEUTRAL,EXTREME_VOL,NEUTRAL,NEUTRAL,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Iron Condor (High Vol),iron_condor_hv,True,True
EXTREME_VOL|NEUTRAL|BEARISH,EXTREME_VOL,NEUTRAL,BEARISH,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Bear Call Spread (High Vol),bear_call_spread_hv,True,True
EXTREME_VOL|LOW|BULLISH,EXTREME_VOL,LOW,BULLISH,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Bull Put Spread (High Vol),bull_put_spread_hv,True,True
EXTREME_VOL|LOW|NEUTRAL,EXTREME_VOL,LOW,NEUTRAL,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Iron Condor (High Vol),iron_condor_hv,True,True
EXTREME_VOL|LOW|BEARISH,EXTREME_VOL,LOW,BEARISH,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash,WAIT,Bear Call Spread (High Vol),bear_call_spread_hv,True,True
