date,vix,regime,ivr,ivp,spx,trend,trend_gap,vix_5d_avg,strategy,strategy_key,hv_spell_age,bearish_streak,ivp63,ivp252,regime_decay,local_spike,iv_signal
2000-01-20,21.75,NORMAL,29.8,19.1,1445.57,BULLISH,1.55,21.27,Reduce / Wait,,0,0,41.9,19.1,False,False,LOW
2000-01-21,20.82,NORMAL,24.4,8.8,1441.36,BULLISH,1.14,21.09,Reduce / Wait,,0,0,12.9,8.8,False,False,LOW
2000-01-24,24.07,HIGH_VOL,47.7,53.0,1401.53,BEARISH,-1.69,21.97,Reduce / Wait,,0,1,85.5,53.0,False,False,NEUTRAL
2000-01-25,23.02,HIGH_VOL,40.2,39.4,1410.03,BEARISH,-1.13,22.28,Reduce / Wait,,1,2,72.6,39.4,False,True,LOW
2000-01-26,23.03,HIGH_VOL,40.2,39.8,1404.09,BEARISH,-1.56,22.54,Reduce / Wait,,2,3,74.2,39.8,False,True,LOW
2000-01-27,23.54,HIGH_VOL,43.9,47.4,1398.56,BEARISH,-1.95,22.9,Reduce / Wait,,3,4,83.9,47.4,False,True,NEUTRAL
2000-01-28,26.14,HIGH_VOL,62.6,78.9,1360.16,BEARISH,-4.57,23.96,Reduce / Wait,,4,5,96.8,78.9,False,False,HIGH
2000-01-31,24.95,HIGH_VOL,54.0,66.1,1394.46,BEARISH,-2.14,24.14,Reduce / Wait,,7,6,93.5,66.1,False,False,NEUTRAL
2000-02-01,23.45,HIGH_VOL,43.3,47.0,1409.28,BEARISH,-1.08,24.22,Reduce / Wait,,8,7,79.0,47.0,False,True,NEUTRAL
2000-02-02,23.12,HIGH_VOL,40.9,43.0,1409.12,BEARISH,-1.07,24.24,Reduce / Wait,,9,8,75.8,43.0,False,True,NEUTRAL
2000-02-03,22.01,HIGH_VOL,32.9,24.3,1424.97,NEUTRAL,0.04,23.93,Iron Condor (High Vol),iron_condor_hv,10,0,46.8,24.3,False,False,LOW
2000-02-04,21.54,NORMAL,29.6,15.5,1424.37,NEUTRAL,-0.03,23.01,Reduce / Wait,,0,0,29.0,15.5,False,False,LOW
2000-02-07,22.79,HIGH_VOL,38.5,36.3,1424.24,NEUTRAL,-0.05,22.58,Iron Condor (High Vol),iron_condor_hv,0,0,64.5,36.3,False,True,LOW
2000-02-08,21.25,NORMAL,28.9,12.7,1441.72,BULLISH,1.14,22.14,Reduce / Wait,,0,0,22.6,12.7,False,False,LOW
2000-02-09,22.9,HIGH_VOL,41.4,39.0,1411.71,NEUTRAL,-0.97,22.1,Iron Condor (High Vol),iron_condor_hv,0,0,66.1,39.0,False,True,LOW
2000-02-10,23.07,HIGH_VOL,42.7,43.4,1416.83,NEUTRAL,-0.65,22.31,Iron Condor (High Vol),iron_condor_hv,1,0,72.6,43.4,False,True,NEUTRAL
2000-02-11,24.42,HIGH_VOL,52.9,62.9,1387.12,BEARISH,-2.72,22.89,Reduce / Wait,,2,1,88.7,62.9,False,False,NEUTRAL
2000-02-14,24.38,HIGH_VOL,52.6,61.8,1389.94,BEARISH,-2.49,23.2,Reduce / Wait,,5,2,87.1,61.8,False,False,NEUTRAL
2000-02-15,22.92,HIGH_VOL,42.2,39.4,1402.05,BEARISH,-1.6,23.54,Reduce / Wait,,6,3,61.3,39.4,False,True,LOW
2000-02-16,23.51,HIGH_VOL,51.3,50.6,1387.67,BEARISH,-2.56,23.66,Reduce / Wait,,7,4,75.8,50.6,False,False,NEUTRAL
2000-02-17,23.17,HIGH_VOL,48.7,46.6,1388.26,BEARISH,-2.49,23.68,Reduce / Wait,,8,5,72.6,46.6,False,True,NEUTRAL
2000-02-18,26.0,HIGH_VOL,72.7,82.9,1346.09,BEARISH,-5.38,24.0,Reduce / Wait,,9,6,95.2,82.9,False,False,HIGH
2000-02-22,25.86,HIGH_VOL,71.5,81.7,1352.17,BEARISH,-4.88,24.29,Reduce / Wait,,13,7,93.5,81.7,False,False,HIGH
2000-02-23,23.89,HIGH_VOL,54.8,55.4,1360.69,BEARISH,-4.2,24.49,Reduce / Wait,,14,8,77.4,55.4,False,False,NEUTRAL
2000-02-24,24.38,HIGH_VOL,59.0,63.3,1353.43,BEARISH,-4.63,24.66,Reduce / Wait,,15,9,82.3,63.3,False,False,NEUTRAL
2000-02-25,25.2,HIGH_VOL,65.9,77.3,1333.36,BEARISH,-5.95,25.07,Reduce / Wait,,16,10,90.3,77.3,False,False,HIGH
2000-02-28,24.68,HIGH_VOL,61.5,69.7,1348.05,BEARISH,-4.83,24.8,Reduce / Wait,,19,11,85.5,69.7,False,False,NEUTRAL
2000-02-29,23.37,HIGH_VOL,51.2,49.8,1366.42,BEARISH,-3.46,24.3,Bear Call Spread (High Vol),bear_call_spread_hv,20,12,64.5,49.8,False,True,NEUTRAL
2000-03-01,21.64,NORMAL,36.8,16.3,1379.19,BEARISH,-2.5,23.85,Reduce / Wait,,0,13,21.0,16.3,False,False,LOW
2000-03-02,21.06,NORMAL,31.7,10.8,1381.76,BEARISH,-2.27,23.19,Reduce / Wait,,0,14,6.5,10.8,False,False,LOW
2000-03-03,19.21,NORMAL,15.6,2.4,1409.17,NEUTRAL,-0.29,21.99,Reduce / Wait,,0,0,0.0,2.4,False,False,LOW
2000-03-06,21.5,NORMAL,35.5,16.3,1391.28,BEARISH,-1.5,21.36,Reduce / Wait,,0,1,19.4,16.3,False,False,LOW
2000-03-07,24.31,HIGH_VOL,60.0,63.7,1355.62,BEARISH,-3.88,21.54,Reduce / Wait,,0,2,77.4,63.7,False,False,NEUTRAL
2000-03-08,23.82,HIGH_VOL,55.7,57.0,1366.7,BEARISH,-2.97,21.98,Reduce / Wait,,1,3,71.0,57.0,False,False,NEUTRAL
2000-03-09,22.21,HIGH_VOL,41.7,30.3,1401.69,NEUTRAL,-0.41,22.21,Iron Condor (High Vol),iron_condor_hv,2,0,35.5,30.3,False,False,LOW
2000-03-10,21.24,NORMAL,33.3,13.5,1395.07,NEUTRAL,-0.78,22.62,Reduce / Wait,,0,0,8.1,13.5,False,False,LOW
2000-03-13,22.85,HIGH_VOL,47.3,40.6,1383.62,BEARISH,-1.48,22.89,Reduce / Wait,,0,1,43.5,40.6,False,False,NEUTRAL
2000-03-14,24.41,HIGH_VOL,60.9,68.5,1359.15,BEARISH,-3.07,22.91,Reduce / Wait,,1,2,80.6,68.5,False,False,NEUTRAL
2000-03-15,22.34,HIGH_VOL,42.9,32.7,1392.14,NEUTRAL,-0.63,22.61,Iron Condor (High Vol),iron_condor_hv,2,0,33.9,32.7,False,False,LOW
2000-03-16,20.77,NORMAL,29.2,9.2,1458.47,BULLISH,4.02,22.32,Reduce / Wait,,0,0,3.2,9.2,False,False,LOW
2000-03-17,22.37,HIGH_VOL,43.1,33.5,1464.47,BULLISH,4.35,22.55,Bull Put Spread (High Vol),bull_put_spread_hv,0,0,33.9,33.5,False,False,LOW
2000-03-20,22.96,HIGH_VOL,48.3,44.6,1456.63,BULLISH,3.71,22.57,Iron Condor (High Vol),iron_condor_hv,3,0,46.8,44.6,False,False,NEUTRAL
2000-03-21,21.7,NORMAL,37.3,20.3,1493.87,BULLISH,6.29,22.03,Reduce / Wait,,0,0,19.4,20.3,False,False,LOW
2000-03-22,21.49,NORMAL,35.5,17.1,1500.64,BULLISH,6.7,21.86,Reduce / Wait,,0,0,12.9,17.1,False,False,LOW
2000-03-23,22.26,HIGH_VOL,42.2,32.7,1527.35,BULLISH,8.46,22.16,Bull Put Spread (High Vol),bull_put_spread_hv,0,0,33.9,32.7,False,False,LOW
2000-03-24,23.31,HIGH_VOL,51.3,54.2,1527.46,BULLISH,8.33,22.34,Iron Condor (High Vol),iron_condor_hv,1,0,61.3,54.2,False,False,NEUTRAL
2000-03-27,24.53,HIGH_VOL,61.9,72.1,1523.86,BULLISH,7.96,22.66,Bull Put Spread (High Vol),bull_put_spread_hv,4,0,82.3,72.1,False,False,HIGH
2000-03-28,24.86,HIGH_VOL,64.8,75.3,1507.73,BULLISH,6.75,23.29,Reduce / Wait,,5,0,87.1,75.3,False,False,HIGH
2000-03-29,24.1,HIGH_VOL,58.2,64.5,1508.52,BULLISH,6.72,23.81,Reduce / Wait,,6,0,69.4,64.5,False,False,NEUTRAL
2000-03-30,25.47,HIGH_VOL,70.1,82.9,1487.92,BULLISH,5.22,24.45,Reduce / Wait,,7,0,90.3,82.9,False,False,HIGH
2000-03-31,24.11,HIGH_VOL,58.3,64.1,1498.58,BULLISH,5.89,24.61,Reduce / Wait,,8,0,71.0,64.1,False,False,NEUTRAL
2000-04-03,24.03,HIGH_VOL,57.6,62.5,1505.97,BULLISH,6.32,24.51,Reduce / Wait,,11,0,67.7,62.5,False,False,NEUTRAL
2000-04-04,27.12,HIGH_VOL,84.5,94.4,1494.73,BULLISH,5.39,24.97,Reduce / Wait,,12,0,100.0,94.4,False,False,HIGH
2000-04-05,28.41,HIGH_VOL,95.7,98.8,1487.37,BULLISH,4.75,25.83,Reduce / Wait,,13,0,100.0,98.8,False,False,HIGH
2000-04-06,27.15,HIGH_VOL,84.8,94.0,1501.34,BULLISH,5.59,26.16,Reduce / Wait,,14,0,98.4,94.0,False,False,HIGH
2000-04-07,24.39,HIGH_VOL,60.7,66.1,1516.35,BULLISH,6.47,26.22,Reduce / Wait,,15,0,77.4,66.1,False,False,NEUTRAL
2000-04-10,25.99,HIGH_VOL,74.7,85.3,1504.46,BULLISH,5.42,26.61,Reduce / Wait,,18,0,91.9,85.3,False,False,HIGH
2000-04-11,27.25,HIGH_VOL,85.6,94.0,1500.59,BULLISH,5.0,26.64,Reduce / Wait,,19,0,98.4,94.0,False,False,HIGH
2000-04-12,28.98,HIGH_VOL,100.0,100.0,1467.17,BULLISH,2.57,26.75,Bull Put Spread (High Vol),bull_put_spread_hv,20,0,100.0,100.0,False,False,HIGH
2000-04-13,29.4,HIGH_VOL,100.0,100.0,1440.51,NEUTRAL,0.67,27.2,Iron Condor (High Vol),iron_condor_hv,21,0,100.0,100.0,False,False,HIGH
2000-04-14,33.49,HIGH_VOL,100.0,100.0,1356.56,BEARISH,-5.11,29.02,Reduce / Wait,,22,1,100.0,100.0,False,False,HIGH
2000-04-17,28.95,HIGH_VOL,71.7,98.8,1401.44,BEARISH,-1.94,29.61,Iron Condor (High Vol),iron_condor_hv,25,2,95.2,98.8,False,False,HIGH
2000-04-18,26.12,HIGH_VOL,54.1,84.9,1441.61,NEUTRAL,0.85,29.39,Iron Condor (High Vol),iron_condor_hv,26,0,85.5,84.9,False,False,HIGH
2000-04-19,27.02,HIGH_VOL,59.7,91.2,1427.47,NEUTRAL,-0.12,29.0,Iron Condor (High Vol),iron_condor_hv,27,0,87.1,91.2,False,False,HIGH
2000-04-20,25.85,HIGH_VOL,52.5,80.9,1434.54,NEUTRAL,0.34,28.29,Iron Condor (High Vol),iron_condor_hv,28,0,77.4,80.9,False,False,HIGH
2000-04-24,27.37,HIGH_VOL,61.9,93.2,1429.86,NEUTRAL,-0.0,27.06,Iron Condor (High Vol),iron_condor_hv,32,0,91.9,93.2,False,False,HIGH
2000-04-25,25.24,HIGH_VOL,48.7,75.3,1477.44,BULLISH,3.19,26.32,Bull Put Spread (High Vol),bull_put_spread_hv,33,0,72.6,75.3,False,False,HIGH
2000-04-26,26.97,HIGH_VOL,59.4,89.6,1460.99,BULLISH,1.94,26.49,Bull Put Spread (High Vol),bull_put_spread_hv,34,0,83.9,89.6,False,False,HIGH
2000-04-27,26.19,HIGH_VOL,54.6,84.5,1464.92,BULLISH,2.13,26.32,Bull Put Spread (High Vol),bull_put_spread_hv,35,0,82.3,84.5,False,False,HIGH
2000-04-28,26.2,HIGH_VOL,54.6,84.5,1452.43,NEUTRAL,1.17,26.39,Iron Condor (High Vol),iron_condor_hv,36,0,82.3,84.5,False,False,HIGH
2000-05-01,25.88,HIGH_VOL,52.6,79.7,1468.25,BULLISH,2.15,26.1,Bull Put Spread (High Vol),bull_put_spread_hv,39,0,74.2,79.7,False,False,HIGH
2000-05-02,28.5,HIGH_VOL,68.9,97.6,1446.29,NEUTRAL,0.49,26.75,Iron Condor (High Vol),iron_condor_hv,40,0,93.5,97.6,False,False,HIGH
2000-05-03,31.63,HIGH_VOL,88.4,99.6,1415.1,NEUTRAL,-1.77,27.68,Iron Condor (High Vol),iron_condor_hv,41,0,98.4,99.6,False,False,HIGH
2000-05-04,30.77,HIGH_VOL,83.1,99.2,1409.57,BEARISH,-2.22,28.6,Reduce / Wait,,42,1,96.8,99.2,False,False,HIGH
2000-05-05,27.53,HIGH_VOL,62.9,92.8,1432.63,NEUTRAL,-0.73,28.86,Iron Condor (High Vol),iron_condor_hv,43,0,87.1,92.8,False,False,HIGH
2000-05-08,28.2,HIGH_VOL,67.1,95.6,1424.17,BEARISH,-1.44,29.33,Iron Condor (High Vol),iron_condor_hv,46,1,87.1,95.6,False,False,HIGH
2000-05-09,28.93,HIGH_VOL,71.6,97.6,1412.14,BEARISH,-2.36,29.41,Reduce / Wait,,47,2,90.3,97.6,False,False,HIGH
2000-05-10,29.87,HIGH_VOL,77.5,98.8,1383.05,BEARISH,-4.39,29.06,Reduce / Wait,,48,3,95.2,98.8,False,False,HIGH
2000-05-11,27.76,HIGH_VOL,64.3,92.8,1407.81,BEARISH,-2.72,28.46,Iron Condor (High Vol),iron_condor_hv,49,4,82.3,92.8,False,False,HIGH
2000-05-12,26.05,HIGH_VOL,53.7,80.1,1420.96,BEARISH,-1.86,28.16,Iron Condor (High Vol),iron_condor_hv,50,5,64.5,80.1,False,False,HIGH
2000-05-15,24.86,HIGH_VOL,46.3,69.7,1452.36,NEUTRAL,0.25,27.49,Iron Condor (High Vol),iron_condor_hv,53,0,48.4,69.7,True,False,NEUTRAL
2000-05-16,24.34,HIGH_VOL,43.1,61.8,1466.04,NEUTRAL,1.09,26.58,Iron Condor (High Vol),iron_condor_hv,54,0,38.7,61.8,True,False,NEUTRAL
2000-05-17,23.98,HIGH_VOL,40.8,57.0,1447.8,NEUTRAL,-0.3,25.4,Iron Condor (High Vol),iron_condor_hv,55,0,30.6,57.0,True,False,NEUTRAL
2000-05-18,23.96,HIGH_VOL,40.7,57.0,1437.21,NEUTRAL,-1.12,24.64,Iron Condor (High Vol),iron_condor_hv,56,0,29.0,57.0,True,False,NEUTRAL
2000-05-19,25.44,HIGH_VOL,49.9,75.7,1406.95,BEARISH,-3.21,24.52,Iron Condor (High Vol),iron_condor_hv,57,1,54.8,75.7,False,False,HIGH
2000-05-22,26.0,HIGH_VOL,53.4,80.5,1400.72,BEARISH,-3.65,24.74,Iron Condor (High Vol),iron_condor_hv,60,2,62.9,80.5,False,False,HIGH
2000-05-23,25.87,HIGH_VOL,52.6,78.5,1373.86,BEARISH,-5.48,25.05,Iron Condor (High Vol),iron_condor_hv,61,3,58.1,78.5,False,False,HIGH
2000-05-24,24.32,HIGH_VOL,42.9,62.5,1399.05,BEARISH,-3.8,25.12,Bear Call Spread (High Vol),bear_call_spread_hv,62,4,37.1,62.5,True,False,NEUTRAL
2000-05-25,24.58,HIGH_VOL,44.6,68.1,1381.52,BEARISH,-4.99,25.24,Bear Call Spread (High Vol),bear_call_spread_hv,63,5,45.2,68.1,True,False,NEUTRAL
2000-05-26,24.47,HIGH_VOL,43.9,66.5,1378.02,BEARISH,-5.13,25.05,Bear Call Spread (High Vol),bear_call_spread_hv,64,6,43.5,66.5,True,False,NEUTRAL
2000-05-30,23.62,HIGH_VOL,38.6,53.8,1422.45,BEARISH,-2.01,24.57,Bear Call Spread (High Vol),bear_call_spread_hv,68,7,24.2,53.8,True,False,NEUTRAL
2000-05-31,23.65,HIGH_VOL,38.8,54.2,1420.6,BEARISH,-2.09,24.13,Bear Call Spread (High Vol),bear_call_spread_hv,69,8,24.2,54.2,True,False,NEUTRAL
2000-06-01,22.36,HIGH_VOL,30.7,33.1,1448.81,NEUTRAL,-0.09,23.74,Iron Condor (High Vol),iron_condor_hv,70,0,14.5,33.1,False,False,LOW
2000-06-02,21.48,NORMAL,25.3,16.7,1477.26,BULLISH,1.91,23.12,Reduce / Wait,,0,0,3.2,16.7,False,False,LOW
2000-06-05,22.71,HIGH_VOL,32.9,37.8,1467.63,BULLISH,1.33,22.76,Bull Put Spread (High Vol),bull_put_spread_hv,0,0,16.1,37.8,False,False,LOW
2000-06-06,23.05,HIGH_VOL,35.0,45.0,1457.84,NEUTRAL,0.75,22.65,Iron Condor (High Vol),iron_condor_hv,1,0,21.0,45.0,False,False,NEUTRAL
2000-06-07,22.48,HIGH_VOL,31.5,35.5,1471.36,BULLISH,1.76,22.42,Bull Put Spread (High Vol),bull_put_spread_hv,2,0,16.1,35.5,False,False,LOW
2000-06-08,22.77,HIGH_VOL,33.3,39.0,1461.67,NEUTRAL,1.15,22.5,Iron Condor (High Vol),iron_condor_hv,3,0,17.7,39.0,False,False,LOW
2000-06-09,22.14,HIGH_VOL,29.4,30.3,1456.95,NEUTRAL,0.9,22.63,Iron Condor (High Vol),iron_condor_hv,4,0,6.5,30.3,False,False,LOW
2000-06-12,22.32,HIGH_VOL,30.5,33.1,1446.0,NEUTRAL,0.2,22.55,Iron Condor (High Vol),iron_condor_hv,7,0,9.7,33.1,False,False,LOW
2000-06-13,21.67,NORMAL,26.4,20.7,1469.44,BULLISH,1.86,22.28,Reduce / Wait,,0,0,4.8,20.7,False,False,LOW
2000-06-14,21.48,NORMAL,25.3,16.7,1470.54,BULLISH,1.99,22.08,Reduce / Wait,,0,0,1.6,16.7,False,False,LOW
2000-06-15,20.68,NORMAL,20.3,8.4,1478.73,BULLISH,2.58,21.66,Reduce / Wait,,0,0,0.0,8.4,False,False,LOW
2000-06-16,20.5,NORMAL,19.2,7.6,1464.46,BULLISH,1.62,21.33,Reduce / Wait,,0,0,0.0,7.6,False,False,LOW
2000-06-19,20.63,NORMAL,20.0,8.4,1486.0,BULLISH,3.14,20.99,Reduce / Wait,,0,0,1.6,8.4,False,False,LOW
2000-06-20,20.88,NORMAL,21.5,11.2,1475.95,BULLISH,2.5,20.83,Reduce / Wait,,0,0,4.8,11.2,False,False,LOW
2000-06-21,20.61,NORMAL,19.9,8.4,1479.13,BULLISH,2.75,20.66,Reduce / Wait,,0,0,1.6,8.4,False,False,LOW
2000-06-22,22.0,HIGH_VOL,28.5,28.7,1452.18,BULLISH,0.95,20.92,Bull Put Spread (High Vol),bull_put_spread_hv,0,0,12.9,28.7,False,False,LOW
2000-06-23,22.34,HIGH_VOL,30.6,34.7,1441.48,NEUTRAL,0.24,21.29,Iron Condor (High Vol),iron_condor_hv,1,0,17.7,34.7,False,False,LOW
2000-06-26,22.45,HIGH_VOL,31.3,37.1,1455.31,BULLISH,1.18,21.66,Bull Put Spread (High Vol),bull_put_spread_hv,4,0,21.0,37.1,False,False,LOW
2000-06-27,21.8,NORMAL,27.3,27.1,1450.55,NEUTRAL,0.72,21.84,Reduce / Wait,,0,0,12.9,27.1,False,False,LOW
2000-06-28,20.29,NORMAL,17.9,6.8,1454.82,BULLISH,0.94,21.78,Reduce / Wait,,0,0,0.0,6.8,False,False,LOW
2000-06-29,19.7,NORMAL,14.2,3.6,1442.39,NEUTRAL,0.08,21.32,Reduce / Wait,,0,0,0.0,3.6,False,False,LOW
2000-06-30,19.54,NORMAL,13.2,2.8,1454.6,BULLISH,0.89,20.76,Reduce / Wait,,0,0,0.0,2.8,False,False,LOW
2000-07-03,19.83,NORMAL,15.0,5.2,1469.54,BULLISH,1.87,20.23,Reduce / Wait,,0,0,3.2,5.2,False,False,LOW
2000-07-05,21.16,NORMAL,23.3,14.7,1446.23,NEUTRAL,0.24,20.1,Reduce / Wait,,0,0,14.5,14.7,False,False,LOW
2000-07-06,20.94,NORMAL,21.9,11.6,1456.67,BULLISH,0.99,20.23,Reduce / Wait,,0,0,14.5,11.6,False,False,LOW
2000-07-07,19.22,NORMAL,11.2,2.0,1478.9,BULLISH,2.5,20.14,Reduce / Wait,,0,0,0.0,2.0,False,False,LOW
2000-07-10,20.33,NORMAL,18.1,6.8,1475.62,BULLISH,2.26,20.3,Reduce / Wait,,0,0,8.1,6.8,False,False,LOW
2000-07-11,20.11,NORMAL,16.7,5.6,1480.88,BULLISH,2.59,20.35,Reduce / Wait,,0,0,6.5,5.6,False,False,LOW
2000-07-12,20.03,NORMAL,16.2,5.2,1492.92,BULLISH,3.38,20.13,Reduce / Wait,,0,0,6.5,5.2,False,False,LOW
2000-07-13,20.03,NORMAL,16.2,4.8,1495.84,BULLISH,3.52,19.94,Reduce / Wait,,0,0,6.5,4.8,False,False,LOW
2000-07-14,19.32,NORMAL,1.7,1.6,1509.98,BULLISH,4.36,19.96,Reduce / Wait,,0,0,1.6,1.6,False,False,LOW
2000-07-17,19.45,NORMAL,2.4,2.0,1510.49,BULLISH,4.25,19.79,Reduce / Wait,,0,0,3.2,2.0,False,False,LOW
2000-07-18,19.75,NORMAL,4.5,3.6,1493.74,BULLISH,3.0,19.72,Reduce / Wait,,0,0,8.1,3.6,False,False,LOW
2000-07-19,19.65,NORMAL,3.8,2.8,1481.96,BULLISH,2.11,19.64,Reduce / Wait,,0,0,6.5,2.8,False,False,LOW
2000-07-20,18.94,NORMAL,0.0,0.0,1495.57,BULLISH,2.93,19.42,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-07-21,18.94,NORMAL,0.0,0.0,1480.19,BULLISH,1.74,19.35,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-07-24,19.92,NORMAL,6.7,6.0,1464.29,NEUTRAL,0.56,19.44,Reduce / Wait,,0,0,16.1,6.0,False,False,LOW
2000-07-25,19.39,NORMAL,3.1,2.8,1474.47,BULLISH,1.19,19.37,Reduce / Wait,,0,0,6.5,2.8,False,False,LOW
2000-07-26,19.67,NORMAL,5.0,4.8,1452.42,NEUTRAL,-0.32,19.37,Reduce / Wait,,0,0,12.9,4.8,False,False,LOW
2000-07-27,19.6,NORMAL,4.5,4.0,1449.62,NEUTRAL,-0.49,19.5,Reduce / Wait,,0,0,11.3,4.0,False,False,LOW
2000-07-28,20.84,NORMAL,13.1,14.3,1419.89,BEARISH,-2.5,19.88,Reduce / Wait,,0,1,37.1,14.3,False,False,LOW
2000-07-31,20.74,NORMAL,12.4,13.5,1430.83,BEARISH,-1.74,20.05,Reduce / Wait,,0,2,37.1,13.5,False,False,LOW
2000-08-01,20.55,NORMAL,11.1,11.2,1438.1,BEARISH,-1.28,20.28,Reduce / Wait,,0,3,32.3,11.2,False,False,LOW
2000-08-02,20.0,NORMAL,7.3,8.0,1438.7,BEARISH,-1.29,20.35,Reduce / Wait,,0,4,22.6,8.0,False,False,LOW
2000-08-03,19.99,NORMAL,7.2,8.0,1452.56,NEUTRAL,-0.45,20.42,Reduce / Wait,,0,0,22.6,8.0,False,False,LOW
2000-08-04,18.62,NORMAL,0.0,0.0,1462.93,NEUTRAL,0.18,19.98,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-08-07,19.03,NORMAL,2.8,1.2,1479.32,BULLISH,1.16,19.64,Reduce / Wait,,0,0,4.8,1.2,False,False,LOW
2000-08-08,18.79,NORMAL,1.1,0.4,1482.8,BULLISH,1.26,19.29,Reduce / Wait,,0,0,1.6,0.4,False,False,LOW
2000-08-09,19.18,NORMAL,3.8,2.4,1472.87,NEUTRAL,0.51,19.12,Reduce / Wait,,0,0,8.1,2.4,False,False,LOW
2000-08-10,19.19,NORMAL,3.8,2.8,1460.25,NEUTRAL,-0.41,18.96,Reduce / Wait,,0,0,9.7,2.8,False,False,LOW
2000-08-11,18.55,NORMAL,0.0,0.0,1471.84,NEUTRAL,0.35,18.95,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-08-14,17.88,NORMAL,0.0,0.0,1491.56,BULLISH,1.68,18.72,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-08-15,17.98,NORMAL,0.6,0.4,1484.43,BULLISH,1.17,18.56,Reduce / Wait,,0,0,1.6,0.4,False,False,LOW
2000-08-16,18.02,NORMAL,0.9,0.8,1479.85,BULLISH,0.83,18.32,Reduce / Wait,,0,0,3.2,0.8,False,False,LOW
2000-08-17,17.48,NORMAL,0.0,0.0,1496.07,BULLISH,1.9,17.98,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-08-18,17.05,NORMAL,0.0,0.0,1491.72,BULLISH,1.56,17.68,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-08-21,17.35,NORMAL,1.8,0.4,1499.48,BULLISH,2.03,17.58,Reduce / Wait,,0,0,1.6,0.4,False,False,LOW
2000-08-22,17.47,NORMAL,2.6,0.8,1498.13,BULLISH,1.86,17.47,Reduce / Wait,,0,0,3.2,0.8,False,False,LOW
2000-08-23,17.38,NORMAL,2.0,0.8,1505.97,BULLISH,2.35,17.35,Reduce / Wait,,0,0,3.2,0.8,False,False,LOW
2000-08-24,17.04,NORMAL,0.0,0.0,1508.31,BULLISH,2.45,17.26,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-08-25,16.53,NORMAL,0.0,0.0,1506.45,BULLISH,2.29,17.15,Reduce / Wait,,0,0,0.0,0.0,False,False,LOW
2000-08-28,16.54,NORMAL,0.1,0.4,1514.09,BULLISH,2.74,16.99,Reduce / Wait,,0,0,1.6,0.4,False,False,LOW
2000-08-29,16.89,NORMAL,2.1,0.8,1509.84,BULLISH,2.42,16.88,Reduce / Wait,,0,0,3.2,0.8,False,False,LOW
2000-08-30,17.69,NORMAL,6.8,3.6,1502.59,BULLISH,1.89,16.94,Reduce / Wait,,0,0,14.5,3.6,False,False,LOW
2000-08-31,16.84,NORMAL,1.8,0.8,1517.68,BULLISH,2.86,16.9,Reduce / Wait,,0,0,3.2,0.8,False,False,LOW
