entry_date,exit_date,hold_days,entry_spx,exit_spx,entry_vix,exit_vix,long_strike,short_strike,long_entry_prem,short_entry_prem,long_exit_prem,short_exit_prem,entry_debit_per_share,entry_debit_usd,pnl_per_share,pnl_usd,period_roe,ivp,iv_signal,regime,trend
2006-08-15,2006-09-08,24,1285.58,1298.92,13.42,13.16,1255,1325,58.5,11.3,61.74,7.41,47.2,4719.69,7.13,713.29,0.1511,62.2,NEUTRAL,LOW_VOL,BULLISH
2006-09-11,2006-10-05,24,1299.54,1353.22,12.99,11.98,1270,1340,57.26,10.58,94.03,24.75,46.68,4667.86,22.6,2260.33,0.4842,57.4,NEUTRAL,LOW_VOL,BULLISH
2006-10-06,2006-10-30,24,1349.59,1377.93,11.56,11.2,1325,1385,52.06,10.5,67.34,12.81,41.56,4156.03,12.97,1296.81,0.312,19.9,LOW,LOW_VOL,BULLISH
2006-10-31,2006-11-24,24,1377.94,1400.95,11.1,10.73,1355,1415,50.61,9.69,61.4,9.58,40.92,4092.16,10.89,1089.42,0.2662,10.4,LOW,LOW_VOL,BULLISH
2006-11-27,2006-12-21,24,1381.96,1418.3,12.3,10.53,1355,1420,56.27,11.49,75.85,14.94,44.77,4477.47,16.14,1613.56,0.3604,57.4,NEUTRAL,LOW_VOL,BULLISH
2006-12-22,2007-01-16,25,1410.76,1431.9,11.36,10.74,1385,1450,53.97,10.0,62.47,8.1,43.96,4396.46,10.41,1041.14,0.2368,24.7,LOW,LOW_VOL,BULLISH
2007-01-17,2007-02-12,26,1430.62,1433.37,10.59,11.61,1405,1465,52.5,10.34,50.02,5.02,42.16,4215.6,2.85,284.69,0.0675,6.0,LOW,LOW_VOL,BULLISH
2007-02-13,2007-03-09,24,1444.26,1402.84,10.34,14.09,1420,1480,51.3,9.7,29.84,1.36,41.59,4159.44,-13.11,-1310.87,-0.3152,6.4,LOW,LOW_VOL,BULLISH
2007-03-23,2007-04-16,24,1436.11,1468.33,12.95,11.98,1405,1480,62.15,11.85,78.63,12.95,50.3,5030.22,15.37,1537.21,0.3056,65.3,NEUTRAL,LOW_VOL,BULLISH
2007-04-17,2007-05-11,24,1471.48,1505.85,12.14,12.95,1440,1515,61.36,11.1,82.89,15.87,50.26,5026.26,16.75,1675.33,0.3333,50.2,NEUTRAL,LOW_VOL,BULLISH
2007-05-14,2007-06-07,24,1503.15,1490.72,13.96,17.06,1465,1550,71.4,13.99,62.55,6.22,57.4,5740.32,-1.08,-108.19,-0.0188,68.9,NEUTRAL,LOW_VOL,BULLISH
2007-06-18,2007-07-12,24,1531.05,1547.7,13.42,15.54,1495,1580,69.42,12.9,78.69,11.56,56.52,5652.01,10.61,1060.54,0.1876,68.1,NEUTRAL,LOW_VOL,BULLISH
2011-04-21,2011-05-16,25,1337.38,1329.47,14.69,18.24,1300,1380,67.5,13.38,61.91,6.62,54.12,5411.66,1.17,117.21,0.0217,0.0,LOW,LOW_VOL,BULLISH
2012-03-13,2012-04-09,27,1395.95,1382.2,14.8,18.81,1360,1445,68.67,12.87,59.66,4.73,55.79,5579.41,-0.86,-86.03,-0.0154,1.2,LOW,LOW_VOL,BULLISH
2012-08-10,2012-09-04,25,1405.87,1404.94,14.74,17.98,1370,1455,68.79,12.94,67.28,7.43,55.85,5585.09,4.0,399.87,0.0716,0.8,LOW,LOW_VOL,BULLISH
2012-09-07,2012-10-01,24,1437.92,1444.49,14.38,16.32,1400,1485,70.29,13.48,71.71,8.86,56.81,5680.51,6.05,604.78,0.1065,2.0,LOW,LOW_VOL,BULLISH
2012-10-04,2012-10-31,27,1461.4,1412.16,14.55,18.6,1425,1510,70.44,13.79,41.63,1.47,56.64,5664.29,-16.49,-1648.83,-0.2911,5.6,LOW,LOW_VOL,BULLISH
2013-01-02,2013-01-28,26,1462.42,1500.18,14.68,13.57,1425,1510,71.47,14.34,90.84,15.31,57.14,5713.88,18.39,1839.27,0.3219,7.2,LOW,LOW_VOL,BULLISH
2013-01-29,2013-02-22,24,1507.84,1515.6,13.31,14.17,1470,1555,69.66,12.79,69.92,7.54,56.87,5686.7,5.51,551.14,0.0969,2.0,LOW,LOW_VOL,BULLISH
2013-02-27,2013-03-25,26,1515.99,1551.69,14.73,13.74,1475,1565,75.69,15.04,93.33,14.74,60.65,6064.5,17.94,1794.15,0.2958,21.1,LOW,LOW_VOL,BULLISH
2013-03-26,2013-04-19,24,1563.77,1555.25,12.77,14.97,1530,1610,67.12,12.99,59.16,5.65,54.12,5412.15,-0.61,-61.38,-0.0113,6.0,LOW,LOW_VOL,BULLISH
2013-04-22,2013-05-16,24,1562.5,1650.47,14.39,13.07,1520,1615,77.27,14.3,142.3,45.45,62.98,6297.99,33.87,3386.83,0.5378,28.7,LOW,LOW_VOL,BULLISH
2013-05-17,2013-06-10,24,1667.47,1642.81,12.45,15.44,1630,1715,71.63,13.71,55.46,4.23,57.93,5792.85,-6.69,-669.4,-0.1156,4.0,LOW,LOW_VOL,BULLISH
2013-07-08,2013-08-01,24,1640.46,1706.87,14.78,12.94,1595,1695,82.78,15.95,125.88,29.65,66.84,6683.54,29.39,2939.27,0.4398,43.8,NEUTRAL,LOW_VOL,BULLISH
2013-08-02,2013-08-26,24,1709.67,1656.78,11.98,14.99,1675,1755,69.55,14.05,38.69,1.63,55.49,5549.39,-18.43,-1842.96,-0.3321,1.6,LOW,LOW_VOL,BULLISH
2013-09-10,2013-10-04,24,1683.99,1690.5,14.53,16.74,1640,1740,82.47,15.85,83.87,10.4,66.62,6661.54,6.86,685.61,0.1029,49.8,NEUTRAL,LOW_VOL,BULLISH
2013-10-16,2013-11-11,26,1721.54,1771.89,14.71,12.53,1675,1780,85.89,16.25,112.57,17.97,69.64,6964.0,24.96,2496.02,0.3584,53.4,NEUTRAL,LOW_VOL,BULLISH
2013-11-12,2013-12-06,24,1767.69,1805.09,12.82,13.79,1730,1820,75.7,14.78,97.98,18.76,60.92,6091.63,18.3,1830.44,0.3005,15.9,LOW,LOW_VOL,BULLISH
2013-12-09,2014-01-02,24,1808.37,1831.98,13.49,14.23,1765,1865,82.74,15.72,93.35,13.23,67.02,6702.26,13.09,1309.35,0.1954,39.0,LOW,LOW_VOL,BULLISH
2014-01-03,2014-01-27,24,1831.37,1781.56,13.76,17.42,1785,1890,86.29,16.16,56.72,3.04,70.12,7012.36,-16.45,-1644.76,-0.2346,50.6,NEUTRAL,LOW_VOL,BULLISH
2014-02-13,2014-03-10,25,1829.83,1877.17,14.14,14.2,1785,1890,86.4,16.55,113.63,20.69,69.85,6985.15,23.09,2308.89,0.3305,56.6,NEUTRAL,LOW_VOL,BULLISH
2014-03-11,2014-04-04,24,1867.63,1865.09,14.8,13.96,1820,1930,91.56,18.12,77.77,5.72,73.44,7343.58,-1.38,-138.29,-0.0188,69.7,NEUTRAL,LOW_VOL,BULLISH
2014-04-08,2014-05-02,24,1851.96,1881.14,14.89,12.91,1800,1915,94.23,17.84,102.55,11.47,76.39,7639.34,14.69,1469.05,0.1923,66.9,NEUTRAL,LOW_VOL,BULLISH
2014-05-05,2014-05-29,24,1884.66,1920.03,13.29,11.57,1840,1940,85.23,16.97,99.72,14.34,68.25,6825.43,17.13,1712.72,0.2509,27.9,LOW,LOW_VOL,BULLISH
2014-05-30,2014-06-23,24,1923.57,1962.61,11.4,10.98,1885,1975,76.04,14.31,97.3,16.81,61.73,6172.91,18.76,1875.85,0.3039,0.4,LOW,LOW_VOL,BULLISH
2014-06-24,2014-07-18,24,1949.98,1978.22,12.13,12.06,1910,2005,80.12,15.43,92.37,13.43,64.69,6468.97,14.26,1425.6,0.2204,8.8,LOW,LOW_VOL,BULLISH
2014-07-21,2014-08-14,24,1973.63,1955.18,12.81,12.42,1930,2030,85.52,17.06,62.46,3.4,68.45,6845.46,-9.39,-939.48,-0.1372,27.5,LOW,LOW_VOL,BULLISH
2014-08-18,2014-09-11,24,1971.74,1997.45,12.32,12.8,1930,2030,82.54,15.32,93.97,13.04,67.22,6721.8,13.71,1370.93,0.204,19.1,LOW,LOW_VOL,BULLISH
2014-09-12,2014-10-06,24,1985.54,1964.82,13.31,15.46,1940,2045,88.84,17.59,71.94,5.94,71.25,7124.98,-5.24,-524.47,-0.0736,47.8,NEUTRAL,LOW_VOL,BULLISH
2014-10-31,2014-11-24,24,2018.05,2069.41,14.03,12.62,1965,2085,97.33,17.82,124.77,19.86,79.51,7950.59,25.41,2541.04,0.3196,61.8,NEUTRAL,LOW_VOL,BULLISH
2014-11-25,2014-12-19,24,2067.03,2070.65,12.25,16.49,2025,2125,85.12,16.76,91.25,13.94,68.36,6836.26,8.95,895.03,0.1309,22.3,LOW,LOW_VOL,BULLISH
2014-12-24,2015-01-20,27,2081.88,2022.55,14.37,19.89,2030,2150,99.71,19.51,69.18,3.82,80.2,8020.45,-14.85,-1484.55,-0.1851,66.5,NEUTRAL,LOW_VOL,BULLISH
2015-02-13,2015-03-09,24,2096.99,2079.43,14.69,15.06,2040,2165,104.75,20.64,82.97,5.71,84.1,8410.45,-6.84,-684.22,-0.0814,62.9,NEUTRAL,LOW_VOL,BULLISH
2015-03-18,2015-04-13,26,2099.5,2092.43,13.97,13.94,2045,2165,100.57,19.55,84.12,5.51,81.02,8102.27,-2.41,-241.41,-0.0298,51.0,NEUTRAL,LOW_VOL,BULLISH
2015-04-14,2015-05-08,24,2095.84,2116.1,13.67,12.86,2045,2160,96.93,19.1,99.44,11.16,77.83,7783.17,10.44,1044.44,0.1342,46.2,NEUTRAL,LOW_VOL,BULLISH
2015-05-11,2015-06-04,24,2105.33,2095.84,13.85,14.71,2055,2170,97.53,19.59,83.2,7.2,77.94,7793.91,-1.94,-193.52,-0.0248,49.0,NEUTRAL,LOW_VOL,BULLISH
2015-06-18,2015-07-13,25,2121.24,2099.6,13.19,13.9,2070,2185,96.22,18.42,73.07,4.21,77.8,7780.11,-8.94,-894.04,-0.1149,33.5,LOW,LOW_VOL,BULLISH
2015-07-16,2015-08-10,25,2124.29,2104.18,12.11,12.23,2080,2185,87.7,16.54,64.33,3.13,71.16,7116.33,-9.96,-996.41,-0.14,6.0,LOW,LOW_VOL,BULLISH
2015-10-19,2015-11-12,24,2033.66,2045.97,14.98,18.37,1980,2105,101.52,19.23,109.65,15.46,82.3,8229.52,11.89,1188.62,0.1444,51.8,NEUTRAL,LOW_VOL,BULLISH
2015-12-01,2015-12-28,27,2102.63,2056.5,14.67,16.91,2045,2175,105.28,19.47,70.22,2.64,85.81,8581.05,-18.24,-1823.53,-0.2125,42.6,NEUTRAL,LOW_VOL,BULLISH
2016-03-16,2016-04-11,26,2027.22,2041.99,14.99,16.26,1970,2095,103.73,20.12,106.61,12.12,83.61,8360.52,10.89,1088.6,0.1302,39.0,LOW,LOW_VOL,BULLISH
2016-04-12,2016-05-06,24,2061.72,2057.14,14.85,14.72,2005,2130,104.01,20.3,89.69,7.07,83.71,8371.41,-1.09,-108.97,-0.013,37.8,LOW,LOW_VOL,BULLISH
2016-05-09,2016-06-02,24,2058.69,2105.26,14.57,13.63,2005,2125,100.9,20.09,124.05,20.6,80.81,8080.61,22.65,2265.01,0.2803,33.1,LOW,LOW_VOL,BULLISH
2016-06-03,2016-06-27,24,2099.13,2000.54,13.47,23.85,2050,2165,95.16,18.16,64.83,4.92,77.0,7700.32,-17.1,-1710.16,-0.2221,12.7,LOW,LOW_VOL,BULLISH
2016-07-01,2016-07-25,24,2102.95,2168.48,14.77,12.87,2045,2175,105.87,19.82,143.31,25.76,86.05,8604.57,31.5,3150.1,0.3661,29.9,LOW,LOW_VOL,BULLISH
2016-07-26,2016-08-19,24,2169.18,2183.87,13.05,11.34,2120,2235,95.71,18.29,91.25,7.57,77.42,7741.99,6.27,626.78,0.081,7.2,LOW,LOW_VOL,BULLISH
2016-08-22,2016-09-15,24,2182.64,2147.26,12.27,16.3,2135,2245,92.15,17.42,73.02,6.07,74.73,7472.54,-7.77,-777.47,-0.104,5.6,LOW,LOW_VOL,BULLISH
2016-11-09,2016-12-05,26,2163.26,2204.71,14.38,12.14,2105,2235,106.56,20.03,121.5,13.66,86.53,8653.01,21.31,2130.62,0.2462,37.1,LOW,LOW_VOL,BULLISH
2016-12-06,2016-12-30,24,2212.23,2238.83,11.79,14.04,2170,2275,87.5,16.49,103.94,17.15,71.01,7100.99,15.77,1577.48,0.2221,3.2,LOW,LOW_VOL,BULLISH
2017-01-03,2017-01-27,24,2257.83,2294.69,12.85,10.58,2205,2325,99.95,18.86,111.99,12.83,81.09,8108.82,18.07,1807.41,0.2229,20.7,LOW,LOW_VOL,BULLISH
2017-01-30,2017-02-23,24,2280.9,2363.81,11.88,11.71,2235,2345,92.15,17.42,149.02,39.91,74.73,7472.77,34.38,3437.53,0.46,12.7,LOW,LOW_VOL,BULLISH
2017-02-24,2017-03-20,24,2367.34,2373.47,11.47,11.34,2320,2430,93.78,18.0,87.41,8.02,75.78,7578.12,3.61,360.88,0.0476,8.8,LOW,LOW_VOL,BULLISH
2017-03-21,2017-04-17,27,2344.02,2349.01,12.47,14.66,2295,2410,98.32,19.56,96.86,10.48,78.76,7875.74,7.62,762.44,0.0968,35.1,LOW,LOW_VOL,BULLISH
2017-04-24,2017-05-18,24,2374.15,2365.72,10.84,14.66,2330,2435,89.25,16.79,87.17,10.85,72.45,7245.08,3.86,386.09,0.0533,1.6,LOW,LOW_VOL,BULLISH
2017-05-19,2017-06-12,24,2381.73,2429.39,12.04,11.46,2335,2450,96.08,18.28,120.26,19.71,77.8,7779.74,22.75,2274.58,0.2924,35.9,LOW,LOW_VOL,BULLISH
2017-06-13,2017-07-07,24,2440.35,2425.18,10.42,11.19,2400,2500,86.58,16.84,69.0,4.97,69.73,6973.39,-5.7,-570.38,-0.0818,6.4,LOW,LOW_VOL,BULLISH
2017-07-10,2017-08-03,24,2427.43,2472.16,11.11,10.44,2385,2490,90.55,17.87,112.47,18.98,72.68,7267.62,20.81,2081.26,0.2864,21.5,LOW,LOW_VOL,BULLISH
2017-08-04,2017-08-28,24,2476.83,2444.24,10.03,11.32,2435,2535,86.81,16.6,60.39,3.31,70.22,7021.72,-13.14,-1314.2,-0.1872,7.6,LOW,LOW_VOL,BULLISH
2017-08-31,2017-09-25,25,2471.65,2496.66,10.59,10.21,2430,2535,88.94,16.73,95.54,10.92,72.2,7220.13,12.42,1241.7,0.172,18.7,LOW,LOW_VOL,BULLISH
2017-09-26,2017-10-20,24,2496.84,2575.21,10.17,9.97,2455,2555,87.89,17.3,141.24,39.35,70.59,7058.54,31.3,3130.32,0.4435,12.7,LOW,LOW_VOL,BULLISH
2017-10-23,2017-11-16,24,2564.98,2585.64,11.07,11.76,2520,2630,95.6,19.07,102.03,13.91,76.52,7652.34,11.6,1160.18,0.1516,41.4,NEUTRAL,LOW_VOL,BULLISH
2017-11-17,2017-12-11,24,2578.85,2659.99,11.43,9.34,2530,2650,100.15,18.67,150.03,32.31,81.48,8148.15,36.24,3624.19,0.4448,57.0,NEUTRAL,LOW_VOL,BULLISH
2017-12-12,2018-01-05,24,2664.11,2743.15,9.92,9.22,2620,2725,92.28,17.98,144.64,37.91,74.3,7429.59,32.43,3243.16,0.4365,16.3,LOW,LOW_VOL,BULLISH
2018-01-08,2018-02-01,24,2747.71,2821.98,9.52,13.47,2705,2810,91.4,17.34,151.82,45.91,74.06,7405.96,31.85,3185.12,0.4301,6.0,LOW,LOW_VOL,BULLISH
2018-05-09,2018-06-04,26,2697.79,2746.87,13.42,12.74,2635,2780,121.83,23.86,142.92,20.01,97.97,9797.21,24.94,2494.11,0.2546,69.7,NEUTRAL,LOW_VOL,BULLISH
2018-06-05,2018-06-29,24,2748.8,2718.37,12.4,16.09,2690,2830,115.85,21.63,98.78,9.11,94.23,9422.52,-4.56,-455.84,-0.0484,62.2,NEUTRAL,LOW_VOL,BULLISH
2018-07-06,2018-07-30,24,2759.82,2802.6,13.37,14.26,2695,2845,124.79,23.94,146.78,23.0,100.85,10085.36,22.93,2293.17,0.2274,62.9,NEUTRAL,LOW_VOL,BULLISH
2018-07-31,2018-08-24,24,2816.29,2874.69,12.83,11.99,2755,2900,121.48,23.48,150.43,24.38,98.0,9799.88,28.05,2804.85,0.2862,56.6,NEUTRAL,LOW_VOL,BULLISH
2018-08-27,2018-09-20,24,2896.74,2930.75,12.16,11.8,2835,2980,120.74,22.59,131.81,16.17,98.15,9815.21,17.49,1749.31,0.1782,45.8,NEUTRAL,LOW_VOL,BULLISH
2018-09-21,2018-10-15,24,2929.67,2750.79,11.68,21.3,2870,3010,117.84,22.23,58.76,2.55,95.61,9560.97,-39.4,-3939.67,-0.4121,35.1,LOW,LOW_VOL,BULLISH
2019-02-15,2019-03-11,24,2775.6,2783.3,14.91,14.33,2700,2870,139.8,26.83,128.69,11.04,112.97,11297.28,4.68,467.74,0.0414,39.0,LOW,LOW_VOL,BULLISH
2019-03-12,2019-04-05,24,2791.52,2892.74,13.77,12.82,2725,2880,128.78,24.92,193.69,45.57,103.87,10386.51,44.26,4426.04,0.4261,33.5,LOW,LOW_VOL,BULLISH
2019-04-08,2019-05-02,24,2895.77,2917.52,13.18,14.42,2830,2985,128.49,24.49,135.41,17.2,104.0,10400.27,14.21,1420.56,0.1366,27.5,LOW,LOW_VOL,BULLISH
2019-05-03,2019-05-28,25,2945.64,2802.39,12.87,17.5,2880,3035,128.29,24.2,57.19,1.33,104.09,10409.22,-48.23,-4822.94,-0.4633,25.9,LOW,LOW_VOL,BULLISH
2019-06-19,2019-07-15,26,2926.46,3014.3,14.33,12.68,2850,3020,142.32,27.91,191.4,34.82,114.41,11441.3,42.17,4216.52,0.3685,38.6,LOW,LOW_VOL,BULLISH
2019-07-16,2019-08-09,24,3004.04,2918.65,12.86,17.97,2935,3095,132.19,24.69,90.31,5.74,107.5,10750.38,-22.93,-2293.47,-0.2133,18.7,LOW,LOW_VOL,BULLISH
2019-09-11,2019-10-07,26,3000.93,2938.79,14.61,17.86,2920,3100,149.07,28.75,106.98,6.04,120.32,12032.0,-19.38,-1937.71,-0.161,31.1,LOW,LOW_VOL,BULLISH
2019-10-14,2019-11-07,24,2966.15,3085.18,14.57,12.73,2890,3065,144.57,28.01,220.8,52.23,116.56,11656.07,52.0,5200.09,0.4461,25.9,LOW,LOW_VOL,BULLISH
2019-11-08,2019-12-02,24,3093.08,3113.87,12.07,14.91,3030,3180,126.54,24.34,140.01,21.26,102.19,10219.25,16.55,1655.33,0.162,0.4,LOW,LOW_VOL,BULLISH
2019-12-04,2019-12-30,26,3112.76,3221.29,14.8,14.82,3030,3220,154.84,29.29,223.87,47.21,125.55,12555.46,51.1,5109.76,0.407,43.0,NEUTRAL,LOW_VOL,BULLISH
2019-12-31,2020-01-24,24,3230.78,3295.47,13.78,14.56,3150,3335,151.64,28.37,188.39,31.7,123.27,12327.0,33.43,3342.63,0.2712,34.3,LOW,LOW_VOL,BULLISH
2020-02-06,2020-03-02,25,3345.78,3090.23,14.96,33.42,3255,3460,168.57,32.42,114.89,8.98,136.15,13614.9,-30.24,-3023.78,-0.2221,58.6,NEUTRAL,LOW_VOL,BULLISH
2023-06-02,2023-06-26,24,4282.37,4328.82,14.6,14.25,4170,4425,210.56,40.62,221.09,25.99,169.94,16994.36,25.16,2516.34,0.1481,0.0,LOW,LOW_VOL,BULLISH
2023-06-27,2023-07-21,24,4378.41,4536.34,13.74,13.6,4270,4515,204.49,39.54,309.46,75.54,164.95,16495.16,68.97,6897.11,0.4181,2.0,LOW,LOW_VOL,BULLISH
2023-07-24,2023-08-17,24,4554.64,4370.36,13.91,17.89,4440,4700,215.3,41.15,113.88,4.05,174.15,17414.8,-64.32,-6431.98,-0.3693,8.0,LOW,LOW_VOL,BULLISH
2023-08-29,2023-09-22,24,4497.63,4320.06,14.45,17.2,4380,4645,219.73,42.52,111.44,3.32,177.21,17720.84,-69.09,-6909.31,-0.3899,12.7,LOW,LOW_VOL,BULLISH
2023-11-08,2023-12-04,26,4382.78,4569.78,14.45,13.08,4270,4525,212.89,41.83,336.33,84.93,171.06,17105.69,80.35,8034.83,0.4697,17.9,LOW,LOW_VOL,BULLISH
2023-12-05,2023-12-29,24,4567.18,4769.83,12.85,12.45,4465,4700,199.03,39.03,343.25,104.95,160.0,16000.06,78.3,7830.1,0.4894,2.0,LOW,LOW_VOL,BULLISH
2024-01-02,2024-01-26,24,4742.83,4890.97,13.2,13.26,4635,4885,210.69,41.35,305.55,70.42,169.34,16933.92,65.79,6579.06,0.3885,11.2,LOW,LOW_VOL,BULLISH
2024-01-29,2024-02-22,24,4927.93,5087.03,13.6,14.54,4810,5080,226.24,44.13,333.04,79.87,182.1,18210.41,71.07,7107.41,0.3903,22.7,LOW,LOW_VOL,BULLISH
2024-02-23,2024-03-18,24,5088.8,5149.42,13.75,14.33,4965,5250,236.29,45.33,260.17,35.24,190.96,19095.68,33.97,3397.19,0.1779,28.3,LOW,LOW_VOL,BULLISH
2024-03-19,2024-04-12,24,5178.51,5123.41,13.82,17.31,5050,5340,242.77,47.29,207.98,20.0,195.47,19547.35,-7.49,-748.85,-0.0383,32.7,LOW,LOW_VOL,BULLISH
2024-05-06,2024-05-30,24,5180.74,5235.48,13.49,14.47,5055,5340,238.05,45.87,260.27,35.77,192.17,19217.3,32.33,3233.12,0.1682,26.3,LOW,LOW_VOL,BULLISH
2024-05-31,2024-06-24,24,5277.51,5447.87,12.92,13.33,5160,5435,230.24,44.4,343.02,82.17,185.83,18583.43,75.02,7501.9,0.4037,14.7,LOW,LOW_VOL,BULLISH
2024-06-25,2024-07-19,24,5469.3,5505.0,12.84,16.52,5345,5630,239.55,46.2,268.35,42.68,193.35,19334.95,32.32,3232.03,0.1672,17.1,LOW,LOW_VOL,BULLISH
2024-07-22,2024-08-15,24,5564.41,5543.22,14.91,15.23,5415,5755,278.83,53.41,237.63,18.23,225.42,22542.2,-6.02,-601.87,-0.0267,69.7,NEUTRAL,LOW_VOL,BULLISH
2024-08-16,2024-09-09,24,5554.25,5471.05,14.8,19.45,5405,5740,277.35,53.83,233.89,22.45,223.52,22352.26,-12.08,-1208.08,-0.054,65.3,NEUTRAL,LOW_VOL,BULLISH
2024-11-08,2024-12-02,24,5995.54,6047.15,14.94,13.34,5835,6200,300.45,58.02,294.59,27.3,242.43,24243.03,24.86,2486.11,0.1025,60.6,NEUTRAL,LOW_VOL,BULLISH
2024-12-03,2024-12-27,24,6049.88,5970.84,13.3,15.95,5910,6235,271.35,52.41,214.75,16.76,218.94,21893.81,-20.95,-2094.72,-0.0957,32.7,LOW,LOW_VOL,BULLISH
2025-01-24,2025-02-18,25,6101.24,6129.58,14.85,15.35,5935,6305,306.72,59.58,298.56,30.33,247.14,24713.78,21.09,2109.3,0.0853,48.2,NEUTRAL,LOW_VOL,BULLISH
